Directorate,Updated,TransNo,Service,Cost Centre,Supplier Name,Amount,Type
Adult & Community Services,11/25/2009,2628102,Learning Disability,SLCC,Slough Borough Council,"2,304.00",Revenue
Adult & Community Services,11/25/2009,2628349,Learning Disability,SLCC,Slough Borough Council,"1,272.01",Revenue
Adult & Community Services,11/25/2009,2628353,Learning Disability,SLCC,Slough Borough Council,746.46,Revenue
Adult & Community Services,11/25/2009,2628354,Learning Disability,SLCC,Slough Borough Council,"2,307.24",Revenue
Adult & Community Services,11/25/2009,2628355,Learning Disability,SLCC,Slough Borough Council,814.32,Revenue
Adult & Community Services,11/25/2009,2628356,Learning Disability,SLCC,Slough Borough Council,"1,499.16",Revenue
Adult & Community Services,12/17/2009,2632516,Learning Disability,SLCC,Slough Borough Council,"2,405.00",Revenue
Adult & Community Services,12/17/2009,2632517,Learning Disability,SLCC,Slough Borough Council,"2,405.00",Revenue
Adult & Community Services,12/22/2009,2633503,Learning Disability,SLCC,Slough Borough Council,"2,304.00",Revenue
Adult & Community Services,11/19/2009,2626903,Learning Disability,SPAR,Southern Electric Plc,601.65,Revenue
Adult & Community Services,11/5/2009,2624379,Learning Disability,SPGD,Southern Electric Plc,826.01,Revenue
Adult & Community Services,11/17/2009,2626544,Learning Disability,SPBD,Southern Electric Plc,"1,461.50",Revenue
Adult & Community Services,10/22/2009,2619710,Learning Disability,SLCC,Sovereign Cars,870,Revenue
Adult & Community Services,11/24/2009,2622941,Learning Disability,SLCC,Sovereign Cars,"5,500.00",Revenue
Adult & Community Services,11/24/2009,2622949,Learning Disability,SLCC,Sovereign Cars,"13,820.00",Revenue
Adult & Community Services,10/1/2009,2617345,Learning Disability,SLCC,St Davids Care in the Community Ltd,"1,897.20",Revenue
Adult & Community Services,10/23/2009,2622929,Learning Disability,SLCC,St Davids Care in the Community Ltd,"1,836.00",Revenue
Adult & Community Services,12/1/2009,2629472,Learning Disability,SLCC,St Davids Care in the Community Ltd,"1,897.20",Revenue
Adult & Community Services,9/10/2009,2613646,Learning Disability,SLCC,St Elizabeths School,"9,138.15",Revenue
Adult & Community Services,10/6/2009,2618073,Learning Disability,SLCC,St Elizabeths School,"9,442.75",Revenue
Adult & Community Services,12/11/2009,2631175,Learning Disability,SLCC,St Elizabeths School,"9,144.72",Revenue
Adult & Community Services,12/11/2009,2631180,Learning Disability,SLCC,St Elizabeths School,"9,442.75",Revenue
Adult & Community Services,9/1/2009,2612363,Learning Disability,SLCC,Stable Family Home Trust,"1,816.29",Revenue
Adult & Community Services,9/1/2009,2612364,Learning Disability,SLCC,Stable Family Home Trust,736.76,Revenue
Adult & Community Services,10/2/2009,2618341,Learning Disability,SLCC,Stable Family Home Trust,"1,757.70",Revenue
Adult & Community Services,10/2/2009,2618343,Learning Disability,SLCC,Stable Family Home Trust,736.76,Revenue
Adult & Community Services,11/9/2009,2625092,Learning Disability,SLCC,Stable Family Home Trust,"1,816.29",Revenue
Adult & Community Services,11/9/2009,2625093,Learning Disability,SLCC,Stable Family Home Trust,736.76,Revenue
Adult & Community Services,12/1/2009,2629253,Learning Disability,SLCC,Stable Family Home Trust,"1,757.70",Revenue
Adult & Community Services,12/1/2009,2629256,Learning Disability,SLCC,Stable Family Home Trust,736.76,Revenue
Adult & Community Services,9/16/2009,2614368,Learning Disability,SPGD,The Consortium,561.04,Revenue
Adult & Community Services,10/22/2009,2619575,Learning Disability,SLAC,The John Townsend Trust,"3,575.00",Revenue
Adult & Community Services,10/6/2009,2618055,Learning Disability,SLCC,The Minstead Training Project Ltd,"6,167.70",Revenue
Adult & Community Services,10/22/2009,2620246,Learning Disability,SLAC,The Minstead Training Project Ltd,899.1,Revenue
Adult & Community Services,11/13/2009,2625724,Learning Disability,SLCC,The Minstead Training Project Ltd,"3,364.20",Revenue
Adult & Community Services,11/18/2009,2626797,Learning Disability,SLCC,The Minstead Training Project Ltd,"1,098.90",Revenue
Adult & Community Services,12/9/2009,2630661,Learning Disability,SLCC,The Minstead Training Project Ltd,"3,476.34",Revenue
Adult & Community Services,12/9/2009,2630690,Learning Disability,SLCC,The Minstead Training Project Ltd,"1,048.95",Revenue
Adult & Community Services,9/3/2009,2612512,Learning Disability,SLCC,The National Autistic Society,"7,142.96",Revenue
Adult & Community Services,10/6/2009,2617335,Learning Disability,SLCC,The National Autistic Society,"7,381.06",Revenue
Adult & Community Services,11/4/2009,2622916,Learning Disability,SLCC,The National Autistic Society,"7,142.96",Revenue
Adult & Community Services,12/2/2009,2629477,Learning Disability,SLCC,The National Autistic Society,"7,381.06",Revenue
Adult & Community Services,9/3/2009,2612493,Learning Disability,SLCC,The Otterhayes Trust Ltd,"1,536.44",Revenue
Adult & Community Services,11/6/2009,2624276,Learning Disability,SLCC,The Otterhayes Trust Ltd,"1,920.50",Revenue
Adult & Community Services,11/6/2009,2624278,Learning Disability,SLCC,The Otterhayes Trust Ltd,"1,536.44",Revenue
Adult & Community Services,11/6/2009,2624279,Learning Disability,SLCC,The Otterhayes Trust Ltd,"1,536.44",Revenue
Adult & Community Services,9/1/2009,2612366,Learning Disability,SLCC,Tilehurst Lodge Residential Home,"4,847.10",Revenue
Adult & Community Services,10/1/2009,2617276,Learning Disability,SLCC,Tilehurst Lodge Residential Home,"4,857.09",Revenue
Adult & Community Services,10/26/2009,2623110,Learning Disability,SLCC,Tilehurst Lodge Residential Home,"4,847.10",Revenue
Adult & Community Services,11/25/2009,2628343,Learning Disability,SLCC,Tilehurst Lodge Residential Home,"4,857.09",Revenue
Adult & Community Services,9/10/2009,2613658,Learning Disability,SLCC,Truecare Group Ltd,"6,626.40",Revenue
Adult & Community Services,10/6/2009,2617343,Learning Disability,SLCC,Truecare Group Ltd,"8,945.67",Revenue
Adult & Community Services,10/6/2009,2617973,Learning Disability,SLCC,Truecare Group Ltd,"6,847.28",Revenue
Adult & Community Services,11/4/2009,2622922,Learning Disability,SLCC,Truecare Group Ltd,"8,657.10",Revenue
Adult & Community Services,11/16/2009,2625733,Learning Disability,SLCC,Truecare Group Ltd,"6,626.40",Revenue
Adult & Community Services,12/2/2009,2629475,Learning Disability,SLCC,Truecare Group Ltd,"8,945.67",Revenue
Adult & Community Services,12/11/2009,2630709,Learning Disability,SLCC,Truecare Group Ltd,"6,847.28",Revenue
Adult & Community Services,9/10/2009,2613647,Learning Disability,SLCC,Truecare Holdings Ltd,"4,517.57",Revenue
Adult & Community Services,10/1/2009,2617978,Learning Disability,SLCC,Truecare Holdings Ltd,"4,668.16",Revenue
Adult & Community Services,11/13/2009,2625682,Learning Disability,SLCC,Truecare Holdings Ltd,"4,517.57",Revenue
Adult & Community Services,12/9/2009,2630706,Learning Disability,SLCC,Truecare Holdings Ltd,"4,668.16",Revenue
Adult & Community Services,9/3/2009,2612520,Learning Disability,SLCC,Turnstone Support,"1,665.60",Revenue
Adult & Community Services,9/3/2009,2612521,Learning Disability,SLCC,Turnstone Support,"5,143.32",Revenue
Adult & Community Services,9/3/2009,2612522,Learning Disability,SLCC,Turnstone Support,"1,242.00",Revenue
Adult & Community Services,9/3/2009,2612720,Learning Disability,SLCC,Turnstone Support,"4,352.54",Revenue
Adult & Community Services,9/3/2009,2612721,Learning Disability,SLCC,Turnstone Support,"2,498.36",Revenue
Adult & Community Services,9/3/2009,2612723,Learning Disability,SLCC,Turnstone Support,"1,873.76",Revenue
Adult & Community Services,9/3/2009,2612724,Learning Disability,SLCC,Turnstone Support,"1,124.27",Revenue
Adult & Community Services,9/3/2009,2612725,Learning Disability,SLCC,Turnstone Support,"1,873.76",Revenue
Adult & Community Services,9/3/2009,2612726,Learning Disability,SLCC,Turnstone Support,"1,873.76",Revenue
Adult & Community Services,9/3/2009,2612727,Learning Disability,SLCC,Turnstone Support,859.2,Revenue
Adult & Community Services,9/3/2009,2612729,Learning Disability,SLCC,Turnstone Support,749.49,Revenue
Adult & Community Services,9/10/2009,2613343,Learning Disability,SLCC,Turnstone Support,"3,239.70",Revenue
Adult & Community Services,9/10/2009,2613344,Learning Disability,SLCC,Turnstone Support,"9,577.20",Revenue
Adult & Community Services,9/12/2009,2613345,Learning Disability,SLCC,Turnstone Support,"35,265.26",Revenue
Adult & Community Services,10/6/2009,2618556,Learning Disability,SLCC,Turnstone Support,"1,936.22",Revenue
Adult & Community Services,10/6/2009,2618558,Learning Disability,SLCC,Turnstone Support,"1,161.75",Revenue
Adult & Community Services,10/6/2009,2618559,Learning Disability,SLCC,Turnstone Support,"2,581.64",Revenue
Adult & Community Services,10/6/2009,2618560,Learning Disability,SLCC,Turnstone Support,"4,352.54",Revenue
Adult & Community Services,10/6/2009,2618561,Learning Disability,SLCC,Turnstone Support,887.84,Revenue
Adult & Community Services,10/6/2009,2618562,Learning Disability,SLCC,Turnstone Support,"1,936.22",Revenue
Adult & Community Services,10/6/2009,2618563,Learning Disability,SLCC,Turnstone Support,"1,936.22",Revenue
Adult & Community Services,10/6/2009,2618564,Learning Disability,SLCC,Turnstone Support,774.47,Revenue
Adult & Community Services,10/13/2009,2619062,Learning Disability,SLCC,Turnstone Support,"1,242.00",Revenue
Adult & Community Services,10/8/2009,2619063,Learning Disability,SLCC,Turnstone Support,"5,143.32",Revenue
Adult & Community Services,10/13/2009,2619064,Learning Disability,SLCC,Turnstone Support,"1,665.60",Revenue
Adult & Community Services,10/13/2009,2619514,Learning Disability,SLCC,Turnstone Support,"3,347.69",Revenue
Adult & Community Services,10/9/2009,2619534,Learning Disability,SLCC,Turnstone Support,"36,440.78",Revenue
Adult & Community Services,10/19/2009,2619535,Learning Disability,SLCC,Turnstone Support,"9,896.44",Revenue
Adult & Community Services,10/9/2009,2619541,Learning Disability,SLCC,Turnstone Support,"58,141.63",Revenue
Adult & Community Services,11/9/2009,2625115,Learning Disability,SLCC,Turnstone Support,"1,665.60",Revenue
Adult & Community Services,11/12/2009,2625117,Learning Disability,SLCC,Turnstone Support,"5,143.32",Revenue
Adult & Community Services,11/9/2009,2625119,Learning Disability,SLCC,Turnstone Support,"1,242.00",Revenue
Adult & Community Services,11/10/2009,2625293,Learning Disability,SLCC,Turnstone Support,"3,239.70",Revenue
Adult & Community Services,11/10/2009,2625294,Learning Disability,SLCC,Turnstone Support,"1,124.27",Revenue
Adult & Community Services,11/10/2009,2625295,Learning Disability,SLCC,Turnstone Support,"4,352.54",Revenue
Adult & Community Services,11/10/2009,2625296,Learning Disability,SLCC,Turnstone Support,"2,498.36",Revenue
Adult & Community Services,11/10/2009,2625297,Learning Disability,SLCC,Turnstone Support,"1,873.76",Revenue
Adult & Community Services,11/10/2009,2625298,Learning Disability,SLCC,Turnstone Support,"1,873.76",Revenue
Adult & Community Services,11/10/2009,2625299,Learning Disability,SLCC,Turnstone Support,859.2,Revenue
Adult & Community Services,11/10/2009,2625300,Learning Disability,SLCC,Turnstone Support,749.49,Revenue
Adult & Community Services,11/10/2009,2625304,Learning Disability,SLCC,Turnstone Support,"1,873.76",Revenue
Adult & Community Services,11/12/2009,2625305,Learning Disability,SLCC,Turnstone Support,"9,577.20",Revenue
Adult & Community Services,11/13/2009,2625306,Learning Disability,SLCC,Turnstone Support,"35,265.26",Revenue
Adult & Community Services,11/27/2009,2629067,Learning Disability,SLCC,Turnstone Support,"2,073.96",Revenue
Adult & Community Services,12/3/2009,2629821,Learning Disability,SLCC,Turnstone Support,"3,347.69",Revenue
Adult & Community Services,12/11/2009,2629825,Learning Disability,SLCC,Turnstone Support,"9,896.44",Revenue
Adult & Community Services,12/8/2009,2629829,Learning Disability,SLCC,Turnstone Support,"36,440.78",Revenue
Adult & Community Services,12/8/2009,2630386,Learning Disability,SLCC,Turnstone Support,"1,161.75",Revenue
Adult & Community Services,12/8/2009,2630387,Learning Disability,SLCC,Turnstone Support,"4,352.54",Revenue
Adult & Community Services,12/8/2009,2630388,Learning Disability,SLCC,Turnstone Support,"2,581.64",Revenue
Adult & Community Services,12/8/2009,2630389,Learning Disability,SLCC,Turnstone Support,"1,936.22",Revenue
Adult & Community Services,12/8/2009,2630391,Learning Disability,SLCC,Turnstone Support,"1,936.22",Revenue
Adult & Community Services,12/8/2009,2630392,Learning Disability,SLCC,Turnstone Support,"1,936.22",Revenue
Adult & Community Services,12/8/2009,2630393,Learning Disability,SLCC,Turnstone Support,887.84,Revenue
Adult & Community Services,12/8/2009,2630394,Learning Disability,SLCC,Turnstone Support,774.47,Revenue
Adult & Community Services,12/14/2009,2631859,Learning Disability,SLCC,Turnstone Support,"1,665.60",Revenue
Adult & Community Services,12/14/2009,2631862,Learning Disability,SLCC,Turnstone Support,"1,242.00",Revenue
Adult & Community Services,10/19/2009,2619423,Learning Disability,SLCC,United Voices,"7,625.00",Revenue
Adult & Community Services,9/10/2009,2613703,Learning Disability,SLCC,Vansett Nursing Home,"2,430.00",Revenue
Adult & Community Services,10/13/2009,2619443,Learning Disability,SLCC,Vansett Nursing Home,"2,511.00",Revenue
Adult & Community Services,10/13/2009,2619509,Learning Disability,SLCC,Vansett Nursing Home,"1,642.86",Revenue
Adult & Community Services,10/22/2009,2622291,Learning Disability,SLCC,Vansett Nursing Home,"3,257.14",Revenue
Adult & Community Services,11/13/2009,2625964,Learning Disability,SLCC,Vansett Nursing Home,"2,430.00",Revenue
Adult & Community Services,12/10/2009,2631181,Learning Disability,SLCC,Vansett Nursing Home,"2,511.00",Revenue
Adult & Community Services,12/10/2009,2631182,Learning Disability,SLCC,Vansett Nursing Home,"1,160.00",Revenue
Adult & Community Services,9/17/2009,2615049,Learning Disability,SLCC,William Blake House,"5,328.30",Revenue
Adult & Community Services,10/19/2009,2621569,Learning Disability,SLCC,William Blake House,"5,505.91",Revenue
Adult & Community Services,11/24/2009,2627691,Learning Disability,SLCC,William Blake House,"5,328.30",Revenue
Adult & Community Services,12/11/2009,2630778,Learning Disability,SLCC,William Blake House,"5,505.91",Revenue
Adult & Community Services,9/23/2009,2616028,Learning Disability,SLCC,Windsor & District Housing Association,"18,963.84",Revenue
Adult & Community Services,9/22/2009,2616029,Learning Disability,SLCC,Windsor & District Housing Association,"4,590.00",Revenue
Adult & Community Services,11/24/2009,2627156,Learning Disability,SLCC,Windsor & District Housing Association,"5,100.00",Revenue
Adult & Community Services,9/1/2009,2612369,Learning Disability,SLCC,Wokingham Borough Council,759.6,Revenue
Adult & Community Services,9/1/2009,2612370,Learning Disability,SLCC,Wokingham Borough Council,"1,097.20",Revenue
Adult & Community Services,9/1/2009,2612371,Learning Disability,SLCC,Wokingham Borough Council,"1,097.20",Revenue
Adult & Community Services,9/21/2009,2615421,Learning Disability,SLCC,Wokingham Borough Council,759.6,Revenue
Adult & Community Services,10/22/2009,2621584,Learning Disability,SLCC,Wokingham Borough Council,"1,012.80",Revenue
Adult & Community Services,11/27/2009,2629065,Learning Disability,SLCC,Wokingham Borough Council,"1,012.80",Revenue
Adult & Community Services,12/14/2009,2631819,Learning Disability,SLCC,Wokingham Borough Council,"1,012.80",Revenue
Adult & Community Services,11/26/2009,2628794,Leisure Centres,CR03,Ceramic Tile Warehouse Ltd,"1,512.40",Capital
Adult & Community Services,11/26/2009,2628795,Leisure Centres,CR03,Ceramic Tile Warehouse Ltd,"3,724.42",Capital
Adult & Community Services,12/17/2009,2632811,Leisure Centres,CR03,Frontline Products,838.95,Capital
Adult & Community Services,12/15/2009,2632223,Leisure Centres,CR18,G T Refrigeration (Chertsey) Ltd,"1,496.00",Capital
Adult & Community Services,12/2/2009,2629615,Leisure Centres,CR03,Graham,"4,250.00",Capital
Adult & Community Services,12/7/2009,2630434,Leisure Centres,CR18,Graham,835.08,Capital
Adult & Community Services,12/18/2009,2632957,Leisure Centres,CR03,JP Electrical & Building Services Ltd,"15,000.00",Capital
Adult & Community Services,10/26/2009,2622953,Leisure Centres,CR57,Peter Brett Associates LLP,"1,027.20",Capital
Adult & Community Services,10/26/2009,2622955,Leisure Centres,CR57,Peter Brett Associates LLP,791.35,Capital
Adult & Community Services,9/29/2009,2617384,Leisure Centres,CR79,S & C Slatter,"4,000.00",Capital
Adult & Community Services,12/9/2009,2631001,Leisure Centres,CR03,Shore Laminates (South) Ltd,"9,090.00",Capital
Adult & Community Services,12/9/2009,2630806,Leisure Centres,CR03,STL Services,"27,825.00",Capital
Adult & Community Services,12/16/2009,2631995,Leisure Centres,CR03,Wolseley UK Limited,"21,396.94",Capital
Adult & Community Services,9/7/2009,2612949,Libraries & Information Services,LB80,2CQR Limited,"3,012.45",Revenue
Adult & Community Services,10/22/2009,2614445,Libraries & Information Services,LB18,3M United Kingdom Plc,540,Revenue
Adult & Community Services,10/22/2009,2614445,Libraries & Information Services,LB24,3M United Kingdom Plc,640,Revenue
Adult & Community Services,10/22/2009,2621451,Libraries & Information Services,LB18,3M United Kingdom Plc,640,Revenue
Adult & Community Services,10/22/2009,2621451,Libraries & Information Services,LB24,3M United Kingdom Plc,540,Revenue
Adult & Community Services,10/19/2009,2621524,Libraries & Information Services,LB16,Anglo Financial Services (AFS),707.96,Revenue
Adult & Community Services,10/28/2009,2622488,Libraries & Information Services,LB05,Ascot Racecourse Ltd,"1,147.76",Revenue
Adult & Community Services,9/15/2009,2614319,Libraries & Information Services,LB70,Askews Library Services Ltd,787.92,Revenue
Adult & Community Services,9/15/2009,2614320,Libraries & Information Services,LB70,Askews Library Services Ltd,878.2,Revenue
Adult & Community Services,9/18/2009,2615366,Libraries & Information Services,LB70,Askews Library Services Ltd,855.04,Revenue
Adult & Community Services,9/25/2009,2616749,Libraries & Information Services,LB70,Askews Library Services Ltd,"1,575.98",Revenue
Adult & Community Services,10/8/2009,2619023,Libraries & Information Services,LB70,Askews Library Services Ltd,"1,170.71",Revenue
Adult & Community Services,10/22/2009,2622467,Libraries & Information Services,LB70,Askews Library Services Ltd,"2,177.63",Revenue
Adult & Community Services,10/27/2009,2623434,Libraries & Information Services,LB70,Askews Library Services Ltd,"1,006.28",Revenue
Adult & Community Services,11/3/2009,2624372,Libraries & Information Services,LB70,Askews Library Services Ltd,"1,306.93",Revenue
Adult & Community Services,11/12/2009,2625528,Libraries & Information Services,LB70,Askews Library Services Ltd,710.43,Revenue
Adult & Community Services,11/12/2009,2625529,Libraries & Information Services,LB70,Askews Library Services Ltd,761.35,Revenue
Adult & Community Services,11/27/2009,2628909,Libraries & Information Services,LB70,Askews Library Services Ltd,"1,496.58",Revenue
Adult & Community Services,12/10/2009,2631253,Libraries & Information Services,LB70,Askews Library Services Ltd,581.68,Revenue
Adult & Community Services,12/10/2009,2631254,Libraries & Information Services,LB70,Askews Library Services Ltd,"1,061.15",Revenue
Adult & Community Services,12/10/2009,2631262,Libraries & Information Services,LB70,Askews Library Services Ltd,520.49,Revenue
Adult & Community Services,10/22/2009,2622569,Libraries & Information Services,LB24,Axis Elevators Ltd,"1,218.00",Revenue
Adult & Community Services,10/26/2009,2623155,Libraries & Information Services,LB18,Axis Elevators Ltd,"4,584.05",Revenue
Adult & Community Services,12/9/2009,2630759,Libraries & Information Services,LB18,Axis Elevators Ltd,680,Revenue
Adult & Community Services,12/10/2009,2631250,Libraries & Information Services,LB70,BBC Audiobooks Ltd,840.88,Revenue
Adult & Community Services,9/18/2009,2615386,Libraries & Information Services,LB70,Bertram Library Services,500.3,Revenue
Adult & Community Services,11/3/2009,2624369,Libraries & Information Services,LB70,Bertram Library Services,933.24,Revenue
Adult & Community Services,11/3/2009,2624371,Libraries & Information Services,LB70,Bertram Library Services,554.7,Revenue
Adult & Community Services,11/12/2009,2625519,Libraries & Information Services,LB70,Bertram Library Services,514.46,Revenue
Adult & Community Services,11/19/2009,2627306,Libraries & Information Services,LB70,Bertram Library Services,"1,907.69",Revenue
Adult & Community Services,12/10/2009,2631264,Libraries & Information Services,LB70,Bertram Library Services,525.89,Revenue
Adult & Community Services,12/10/2009,2631265,Libraries & Information Services,LB70,Bertram Library Services,774.43,Revenue
Adult & Community Services,12/18/2009,2633163,Libraries & Information Services,LB70,Bertram Library Services,607.23,Revenue
Adult & Community Services,12/18/2009,2633176,Libraries & Information Services,LB70,Bertram Library Services,"1,155.06",Revenue
Adult & Community Services,9/15/2009,2614279,Libraries & Information Services,LB70,Birmingham City Council,"2,153.00",Revenue
Adult & Community Services,9/15/2009,2614282,Libraries & Information Services,LB70,Bright Book Supplies Ltd,689.35,Revenue
Adult & Community Services,12/10/2009,2631223,Libraries & Information Services,LB70,City of Westminster,500,Revenue
Adult & Community Services,10/8/2009,2618994,Libraries & Information Services,LB70,Coutts Information Services Ltd,619.06,Revenue
Adult & Community Services,10/27/2009,2623428,Libraries & Information Services,LB70,Coutts Information Services Ltd,781.52,Revenue
Adult & Community Services,11/12/2009,2625531,Libraries & Information Services,LB70,Coutts Information Services Ltd,759.1,Revenue
Adult & Community Services,11/12/2009,2625532,Libraries & Information Services,LB70,Coutts Information Services Ltd,607.26,Revenue
Adult & Community Services,11/19/2009,2627340,Libraries & Information Services,LB70,Coutts Information Services Ltd,575.95,Revenue
Adult & Community Services,12/18/2009,2633020,Libraries & Information Services,LB70,Coutts Information Services Ltd,586.65,Revenue
Adult & Community Services,12/18/2009,2633023,Libraries & Information Services,LB70,Cramer Music,524.76,Revenue
Adult & Community Services,10/2/2009,2617952,Libraries & Information Services,LB10,Datchet Parish Council,"3,657.25",Revenue
Adult & Community Services,10/2/2009,2617955,Libraries & Information Services,LB10,Datchet Parish Council,"3,657.25",Revenue
Adult & Community Services,12/18/2009,2632707,Libraries & Information Services,LB10,Datchet Parish Council,"3,657.25",Revenue
Adult & Community Services,9/18/2009,2615513,Libraries & Information Services,LB80,Dell  Corporation Ltd,"1,133.16",Revenue
Adult & Community Services,10/9/2009,2619479,Libraries & Information Services,LB80,Dell  Corporation Ltd,533.1,Revenue
Adult & Community Services,10/2/2009,2618317,Libraries & Information Services,LB14,Eton College,"1,000.00",Revenue
Adult & Community Services,9/16/2009,2614748,Libraries & Information Services,LB18,First Beeline Buses Ltd,546.66,Revenue
Adult & Community Services,10/23/2009,2622521,Libraries & Information Services,LB18,First Beeline Buses Ltd,580.32,Revenue
Adult & Community Services,9/10/2009,2613602,Libraries & Information Services,LB30,Holloway & James Ltd,"3,330.00",Revenue
Adult & Community Services,10/22/2009,2621436,Libraries & Information Services,LB30,Holloway & James Ltd,"3,930.00",Revenue
Adult & Community Services,11/17/2009,2625789,Libraries & Information Services,LB30,Holloway & James Ltd,"3,580.00",Revenue
Adult & Community Services,12/16/2009,2631731,Libraries & Information Services,LB30,Holloway & James Ltd,"3,771.00",Revenue
Adult & Community Services,9/30/2009,2617371,Libraries & Information Services,LB18,Kentwood Associates,"5,475.00",Revenue
Adult & Community Services,11/19/2009,2627328,Libraries & Information Services,LB70,Library Multimedia Supplies (VHS Distribution),806.58,Revenue
Adult & Community Services,11/26/2009,2628851,Libraries & Information Services,LB70,Library Multimedia Supplies (VHS Distribution),713.43,Revenue
Adult & Community Services,11/26/2009,2628852,Libraries & Information Services,LB70,Library Multimedia Supplies (VHS Distribution),725.77,Revenue
Adult & Community Services,12/10/2009,2631227,Libraries & Information Services,LB70,Library Multimedia Supplies (VHS Distribution),512.77,Revenue
Adult & Community Services,12/18/2009,2633038,Libraries & Information Services,LB70,Library Multimedia Supplies (VHS Distribution),658.91,Revenue
Adult & Community Services,12/18/2009,2633044,Libraries & Information Services,LB70,Library Multimedia Supplies (VHS Distribution),692,Revenue
Adult & Community Services,12/2/2009,2629617,Libraries & Information Services,LB70,OCLC (UK) Limited,"4,543.40",Revenue
Adult & Community Services,9/15/2009,2614318,Libraries & Information Services,LB70,Peters Bookselling Services,999.36,Revenue
Adult & Community Services,9/25/2009,2616792,Libraries & Information Services,LB70,Peters Bookselling Services,527.24,Revenue
Adult & Community Services,10/2/2009,2618300,Libraries & Information Services,LB70,Peters Bookselling Services,919.61,Revenue
Adult & Community Services,10/8/2009,2619030,Libraries & Information Services,LB70,Peters Bookselling Services,"1,010.78",Revenue
Adult & Community Services,11/12/2009,2625524,Libraries & Information Services,LB70,Peters Bookselling Services,"1,191.91",Revenue
Adult & Community Services,11/12/2009,2625526,Libraries & Information Services,LB70,Peters Bookselling Services,"1,221.25",Revenue
Adult & Community Services,11/19/2009,2627300,Libraries & Information Services,LB70,Peters Bookselling Services,"1,610.50",Revenue
Adult & Community Services,12/10/2009,2631252,Libraries & Information Services,LB70,Peters Bookselling Services,"1,316.29",Revenue
Adult & Community Services,12/10/2009,2631255,Libraries & Information Services,LB70,Peters Bookselling Services,888.19,Revenue
Adult & Community Services,12/18/2009,2633009,Libraries & Information Services,LB70,Peters Bookselling Services,"1,015.54",Revenue
Adult & Community Services,12/18/2009,2633012,Libraries & Information Services,LB70,Peters Bookselling Services,"2,331.62",Revenue
Adult & Community Services,10/13/2009,2620000,Libraries & Information Services,LB18,Plastic Card Services,"1,657.20",Revenue
Adult & Community Services,10/8/2009,2619013,Libraries & Information Services,LB40,Renault Trucks Reading,542.13,Revenue
Adult & Community Services,10/29/2009,2623651,Libraries & Information Services,LB14,Rhedin Ltd,927.85,Revenue
Adult & Community Services,9/11/2009,2614130,Libraries & Information Services,LB40,Ryder Truck Rental,822.7,Revenue
Adult & Community Services,9/11/2009,2613448,Libraries & Information Services,LB24,Security Control Systems,780,Revenue
Adult & Community Services,9/23/2009,2614722,Libraries & Information Services,LB18,Solo Service Group,"1,392.45",Revenue
Adult & Community Services,9/23/2009,2614722,Libraries & Information Services,LB24,Solo Service Group,563.19,Revenue
Adult & Community Services,10/19/2009,2620603,Libraries & Information Services,LB18,Solo Service Group,"1,392.45",Revenue
Adult & Community Services,10/19/2009,2620603,Libraries & Information Services,LB24,Solo Service Group,563.19,Revenue
Adult & Community Services,11/23/2009,2626860,Libraries & Information Services,LB18,Solo Service Group,"1,392.45",Revenue
Adult & Community Services,11/23/2009,2626860,Libraries & Information Services,LB24,Solo Service Group,563.19,Revenue
Adult & Community Services,12/18/2009,2631651,Libraries & Information Services,LB18,Solo Service Group,"1,392.45",Revenue
Adult & Community Services,12/18/2009,2631651,Libraries & Information Services,LB24,Solo Service Group,563.19,Revenue
Adult & Community Services,9/25/2009,2616364,Libraries & Information Services,LB24,Southern Electric Plc,595.75,Revenue
Adult & Community Services,10/22/2009,2621530,Libraries & Information Services,LB18,Southern Electric Plc,561.04,Revenue
Adult & Community Services,10/27/2009,2623409,Libraries & Information Services,LB40,Southern Electric Plc,526.63,Revenue
Adult & Community Services,10/28/2009,2623410,Libraries & Information Services,LB20,Southern Electric Plc,800.34,Revenue
Adult & Community Services,11/23/2009,2627059,Libraries & Information Services,LB24,Southern Electric Plc,573.14,Revenue
Adult & Community Services,11/26/2009,2628600,Libraries & Information Services,LB40,Southern Electric Plc,"1,813.91",Revenue
Adult & Community Services,9/15/2009,2614628,Libraries & Information Services,LB80,Total Memory & Media Ltd,"1,495.00",Revenue
Adult & Community Services,10/2/2009,2617954,Libraries & Information Services,LB22,Trustees Of The Sunninghill Reading Room,500.34,Revenue
Adult & Community Services,12/18/2009,2632713,Libraries & Information Services,LB22,Trustees Of The Sunninghill Reading Room,500.34,Revenue
Adult & Community Services,10/27/2009,2623430,Libraries & Information Services,LB70,W F Howes Ltd,516,Revenue
Adult & Community Services,10/9/2009,2619189,Library & Information Services,CL77,Architects Design Partnership LLP,"3,150.00",Capital
Adult & Community Services,10/9/2009,2619192,Library & Information Services,CL77,Architects Design Partnership LLP,"6,000.00",Capital
Adult & Community Services,10/8/2009,2619374,Library & Information Services,CR88,Axis Elevators Ltd,"2,589.16",Capital
Adult & Community Services,12/7/2009,2629887,Library & Information Services,CR82,Blakedown Landscapes (SE) Ltd,"1,460.38",Capital
Adult & Community Services,10/26/2009,2622920,Library & Information Services,CL83,Chandlers Removals,"2,920.98",Capital
Adult & Community Services,10/19/2009,2621459,Library & Information Services,CR84,Civica UK Ltd,"81,276.00",Capital
