Directorate,Updated,TransNo,Service,Supplier Name,Amount
Adult & Community Services,09/09/2009,2613644,Elderly & Physical Disability,Vansett Nursing Home,"2,372.40"
Adult & Community Services,09/09/2009,2613645,Elderly & Physical Disability,Vansett Nursing Home,"2,519.40"
Adult & Community Services,17/09/2009,2615120,Elderly & Physical Disability,Vansett Nursing Home,"2,379.90"
Adult & Community Services,04/09/2009,2612412,Elderly & Physical Disability,Vodafone Limited (Corporate),"1,231.22"
Adult & Community Services,22/09/2009,2615203,Elderly & Physical Disability,Vodafone Limited (Corporate),963.9
Adult & Community Services,02/09/2009,2612406,Elderly & Physical Disability,Watford House Residential Home,"1,498.60"
Adult & Community Services,17/09/2009,2614838,Elderly & Physical Disability,Watford House Residential Home,"1,498.60"
Adult & Community Services,09/09/2009,2613678,Elderly & Physical Disability,White Lodge Residential Home,"1,611.30"
Adult & Community Services,17/09/2009,2615122,Elderly & Physical Disability,Windmill Care Centre,"4,095.43"
Adult & Community Services,17/09/2009,2615125,Elderly & Physical Disability,Windmill Care Centre,"2,584.11"
Adult & Community Services,17/09/2009,2615128,Elderly & Physical Disability,Windmill Care Centre,"3,798.13"
Adult & Community Services,17/09/2009,2615131,Elderly & Physical Disability,Windmill Care Centre,"3,428.57"
Adult & Community Services,17/09/2009,2615134,Elderly & Physical Disability,Windmill Care Centre,"3,079.29"
Adult & Community Services,17/09/2009,2615135,Elderly & Physical Disability,Windmill Care Centre,"2,581.50"
Adult & Community Services,09/09/2009,2613544,Elderly & Physical Disability,Winton House Residential Home,"1,861.50"
Adult & Community Services,09/09/2009,2613685,Elderly & Physical Disability,Winton House Residential Home,"2,126.40"
Adult & Community Services,17/09/2009,2614995,Elderly & Physical Disability,Winton House Residential Home,"2,003.40"
Adult & Community Services,02/09/2009,2612213,Elderly & Physical Disability,Womens Royal Voluntary Service,"1,533.17"
Adult & Community Services,24/09/2009,2616127,Elderly & Physical Disability,Womens Royal Voluntary Service,"1,432.20"
Adult & Community Services,08/09/2009,2613094,Elderly & Physical Disability,WRVS,"1,210.55"
Adult & Community Services,08/09/2009,2613100,Elderly & Physical Disability,WRVS,"1,466.30"
Adult & Community Services,15/09/2009,2612602,Housing General,Gregory & Company,"1,200.00"
Adult & Community Services,15/09/2009,2614173,Housing General,Horler and Associates,"1,200.00"
Adult & Community Services,15/09/2009,2614174,Housing General,Horler and Associates,"1,200.00"
Adult & Community Services,15/09/2009,2614120,Housing General,Southern Electric Contracting Ltd,548.1
Adult & Community Services,28/09/2009,2616870,Joint Commissioning,Realeyes Community Theatre Company,"3,350.00"
Adult & Community Services,03/09/2009,2612716,Learning Disability,Ability Associates Ltd,"5,241.52"
Adult & Community Services,03/09/2009,2612717,Learning Disability,Ability Associates Ltd,"5,683.00"
Adult & Community Services,17/09/2009,2614343,Learning Disability,Advance Housing & Support Ltd,"28,580.76"
Adult & Community Services,17/09/2009,2614344,Learning Disability,Advance Housing & Support Ltd,"28,580.76"
Adult & Community Services,10/09/2009,2613710,Learning Disability,Aitch Care Homes Woking Ltd,"6,835.81"
Adult & Community Services,25/09/2009,2616576,Learning Disability,Aitch Care Homes Woking Ltd,"6,615.30"
Adult & Community Services,03/09/2009,2612504,Learning Disability,Atlas Project Team Ltd,"4,892.11"
Adult & Community Services,03/09/2009,2612505,Learning Disability,Atlas Project Team Ltd,"10,165.83"
Adult & Community Services,03/09/2009,2612506,Learning Disability,Atlas Project Team Ltd,"9,036.19"
Adult & Community Services,29/09/2009,2617090,Learning Disability,Berkshire Healthcare NHS Trust,"2,609.53"
Adult & Community Services,01/09/2009,2612374,Learning Disability,Bracknell Forest Borough Council,"3,008.84"
Adult & Community Services,01/09/2009,2612375,Learning Disability,Bracknell Forest Borough Council,"2,533.76"
Adult & Community Services,01/09/2009,2612376,Learning Disability,Bracknell Forest Borough Council,"2,692.12"
Adult & Community Services,17/09/2009,2614988,Learning Disability,Bracknell Forest Borough Council,"2,375.40"
Adult & Community Services,17/09/2009,2614997,Learning Disability,Bradbury House Organisation,"3,430.80"
Adult & Community Services,03/09/2009,2612516,Learning Disability,Caretech Community Services Limited,"1,783.46"
Adult & Community Services,03/09/2009,2612517,Learning Disability,Caretech Community Services Limited,"5,865.43"
Adult & Community Services,17/09/2009,2615041,Learning Disability,Caretech Community Services Limited,557.14
Adult & Community Services,17/09/2009,2615042,Learning Disability,Caretech Community Services Limited,"4,012.41"
Adult & Community Services,01/10/2009,2617338,Learning Disability,Caretech Community Services Limited,"1,842.91"
Adult & Community Services,22/09/2009,2616132,Learning Disability,Carewatch (South Bucks & North Berks),543.6
Adult & Community Services,03/09/2009,2612503,Learning Disability,Cerrig Camu Ltd,"5,373.56"
Adult & Community Services,03/09/2009,2612519,Learning Disability,Chilmington Homes Ltd,"18,563.10"
Adult & Community Services,10/09/2009,2613672,Learning Disability,CHOICE LTD,"3,857.14"
Adult & Community Services,17/09/2009,2615043,Learning Disability,CHOICE LTD,"6,964.29"
Adult & Community Services,17/09/2009,2615044,Learning Disability,CHOICE LTD,"8,181.99"
Adult & Community Services,10/09/2009,2613668,Learning Disability,Copse House Farm,"7,791.30"
Adult & Community Services,10/09/2009,2613721,Learning Disability,Copse House Farm,"8,204.53"
Adult & Community Services,17/09/2009,2613969,Learning Disability,Creative Support Ltd,"4,408.00"
Adult & Community Services,17/09/2009,2613970,Learning Disability,Creative Support Ltd,"4,408.00"
Adult & Community Services,17/09/2009,2613971,Learning Disability,Creative Support Ltd,"2,030.00"
Adult & Community Services,17/09/2009,2613972,Learning Disability,Creative Support Ltd,"2,117.00"
Adult & Community Services,17/09/2009,2613974,Learning Disability,Creative Support Ltd,"2,436.00"
Adult & Community Services,17/09/2009,2613975,Learning Disability,Creative Support Ltd,841
Adult & Community Services,17/09/2009,2613981,Learning Disability,Creative Support Ltd,794.6
Adult & Community Services,17/09/2009,2613982,Learning Disability,Creative Support Ltd,"1,508.00"
Adult & Community Services,17/09/2009,2613983,Learning Disability,Creative Support Ltd,"1,508.00"
Adult & Community Services,17/09/2009,2613984,Learning Disability,Creative Support Ltd,"1,450.00"
Adult & Community Services,17/09/2009,2613986,Learning Disability,Creative Support Ltd,"1,102.00"
Adult & Community Services,17/09/2009,2613987,Learning Disability,Creative Support Ltd,"1,015.00"
Adult & Community Services,17/09/2009,2613988,Learning Disability,Creative Support Ltd,"1,102.00"
Adult & Community Services,17/09/2009,2613989,Learning Disability,Creative Support Ltd,"2,262.00"
Adult & Community Services,17/09/2009,2613990,Learning Disability,Creative Support Ltd,522
Adult & Community Services,01/10/2009,2617280,Learning Disability,Creative Support Ltd,"4,408.00"
Adult & Community Services,01/10/2009,2617281,Learning Disability,Creative Support Ltd,"4,408.00"
Adult & Community Services,01/10/2009,2617282,Learning Disability,Creative Support Ltd,"2,030.00"
Adult & Community Services,01/10/2009,2617283,Learning Disability,Creative Support Ltd,"2,117.00"
Adult & Community Services,01/10/2009,2617284,Learning Disability,Creative Support Ltd,"2,436.00"
Adult & Community Services,01/10/2009,2617285,Learning Disability,Creative Support Ltd,841
Adult & Community Services,01/10/2009,2617288,Learning Disability,Creative Support Ltd,"1,102.00"
Adult & Community Services,01/10/2009,2617292,Learning Disability,Creative Support Ltd,794.6
Adult & Community Services,01/10/2009,2617293,Learning Disability,Creative Support Ltd,"1,508.00"
Adult & Community Services,01/10/2009,2617295,Learning Disability,Creative Support Ltd,"1,508.00"
Adult & Community Services,01/10/2009,2617296,Learning Disability,Creative Support Ltd,"1,450.00"
Adult & Community Services,01/10/2009,2617297,Learning Disability,Creative Support Ltd,"1,015.00"
Adult & Community Services,01/10/2009,2617298,Learning Disability,Creative Support Ltd,"1,102.00"
Adult & Community Services,01/10/2009,2617301,Learning Disability,Creative Support Ltd,"2,262.00"
Adult & Community Services,01/10/2009,2617302,Learning Disability,Creative Support Ltd,522
Adult & Community Services,17/09/2009,2615119,Learning Disability,Culworth House,"2,017.63"
Adult & Community Services,11/09/2009,2614211,Learning Disability,Dell  Corporation Ltd,533.1
Adult & Community Services,18/09/2009,2615512,Learning Disability,Dell  Corporation Ltd,533.1
Adult & Community Services,17/09/2009,2614339,Learning Disability,Dysons Wood Trust,"7,401.00"
Adult & Community Services,17/09/2009,2614340,Learning Disability,Dysons Wood Trust,"7,877.70"
Adult & Community Services,03/09/2009,2612511,Learning Disability,Elizabeth Fitzroy Support,"5,764.07"
Adult & Community Services,03/09/2009,2612492,Learning Disability,Elizabeth Fitzroy Support,"5,243.44"
Adult & Community Services,10/09/2009,2613333,Learning Disability,Homefield College Ltd,"2,039.40"
Adult & Community Services,10/09/2009,2613335,Learning Disability,Jigsaw Respite Care Limited,"1,353.19"
Adult & Community Services,10/09/2009,2613336,Learning Disability,Jigsaw Respite Care Limited,895.8
Adult & Community Services,10/09/2009,2613337,Learning Disability,Jigsaw Respite Care Limited,597.2
Adult & Community Services,10/09/2009,2613338,Learning Disability,Jigsaw Respite Care Limited,"1,853.12"
Adult & Community Services,10/09/2009,2613339,Learning Disability,Jigsaw Respite Care Limited,"5,055.60"
Adult & Community Services,10/09/2009,2613340,Learning Disability,Jigsaw Respite Care Limited,"8,753.08"
Adult & Community Services,10/09/2009,2613341,Learning Disability,Jigsaw Respite Care Limited,"7,422.48"
Adult & Community Services,10/09/2009,2613631,Learning Disability,Jigsaw Respite Care Limited,895.8
Adult & Community Services,01/10/2009,2617160,Learning Disability,Jigsaw Respite Care Limited,"1,843.20"
Adult & Community Services,01/10/2009,2617165,Learning Disability,Jigsaw Respite Care Limited,"1,843.20"
Adult & Community Services,22/09/2009,2616060,Learning Disability,Linkage Community Trust,"2,332.02"
Adult & Community Services,01/10/2009,2617806,Learning Disability,Lloyds TSB Autolease,"2,697.24"
Adult & Community Services,25/09/2009,2616681,Learning Disability,Lufton Manor College,"16,786.76"
Adult & Community Services,25/09/2009,2616465,Learning Disability,Maidenhead Berkshire Cars,785.2
Adult & Community Services,17/09/2009,2614592,Learning Disability,Milbury Care Services Ltd,"5,500.60"
Adult & Community Services,17/09/2009,2614595,Learning Disability,Milbury Care Services Ltd,"5,234.93"
Adult & Community Services,17/09/2009,2614599,Learning Disability,Milbury Care Services Ltd,"4,904.51"
Adult & Community Services,17/09/2009,2614601,Learning Disability,Milbury Care Services Ltd,"13,141.36"
Adult & Community Services,17/09/2009,2614604,Learning Disability,Milbury Care Services Ltd,"13,141.36"
Adult & Community Services,25/09/2009,2616741,Learning Disability,Milbury Care Services Ltd,"4,884.14"
Adult & Community Services,25/09/2009,2616743,Learning Disability,Milbury Care Services Ltd,"3,373.02"
Adult & Community Services,01/10/2009,2617305,Learning Disability,Milbury Care Services Ltd,"4,884.14"
Adult & Community Services,01/10/2009,2617307,Learning Disability,Milbury Care Services Ltd,"3,373.02"
Adult & Community Services,22/09/2009,2615418,Learning Disability,Mulberry House,"5,764.80"
Adult & Community Services,17/09/2009,2614802,Learning Disability,Nightingales Residential Homes,"2,464.93"
Adult & Community Services,28/09/2009,2616856,Learning Disability,Norden Farm Centre Trust Limited,577.5
Adult & Community Services,03/09/2009,2612510,Learning Disability,Norwood Ravenswood,"3,869.36"
Adult & Community Services,03/09/2009,2612502,Learning Disability,Oakdown St Anthony,"3,715.76"
Adult & Community Services,01/10/2009,2617330,Learning Disability,Oakdown St Anthony,"3,839.62"
Adult & Community Services,03/09/2009,2612500,Learning Disability,Ogilvie Court,"9,347.62"
Adult & Community Services,10/09/2009,2613697,Learning Disability,Orpheus Centre,"5,589.60"
Adult & Community Services,17/09/2009,2614530,Learning Disability,Orpheus Centre,"5,165.15"
Adult & Community Services,17/09/2009,2614664,Learning Disability,Orpheus Centre,"5,342.04"
Adult & Community Services,22/09/2009,2616030,Learning Disability,Owl Housing Ltd,835.2
Adult & Community Services,22/09/2009,2616031,Learning Disability,Owl Housing Ltd,742.4
Adult & Community Services,28/09/2009,2616857,Learning Disability,Pace Petroleum Ltd,821.25
Adult & Community Services,01/09/2009,2612372,Learning Disability,Passmore Care Services Limited,"2,537.00"
Adult & Community Services,25/09/2009,2616729,Learning Disability,Passmore Care Services Limited,"2,537.00"
Adult & Community Services,22/09/2009,2615829,Learning Disability,People Potential (uk) Ltd,"7,810.76"
Adult & Community Services,30/09/2009,2617166,Learning Disability,People To Places,"3,065.52"
Adult & Community Services,03/09/2009,2612495,Learning Disability,Positive Lifestyles Partnerships Limited,"4,305.60"
Adult & Community Services,03/09/2009,2612501,Learning Disability,Purley Park Trust Ltd,"3,479.70"
Adult & Community Services,01/10/2009,2617328,Learning Disability,Purley Park Trust Ltd,"3,595.69"
Adult & Community Services,03/09/2009,2612507,Learning Disability,REACH Ltd,"2,950.93"
Adult & Community Services,03/09/2009,2612508,Learning Disability,REACH Ltd,"6,041.44"
Adult & Community Services,10/09/2009,2613696,Learning Disability,REACH Ltd,"5,412.77"
Adult & Community Services,01/10/2009,2617332,Learning Disability,REACH Ltd,"3,049.29"
Adult & Community Services,10/09/2009,2613723,Learning Disability,Robinia Care South Ltd,"8,797.83"
Adult & Community Services,17/09/2009,2615046,Learning Disability,Rookery House,"10,080.00"
Adult & Community Services,17/09/2009,2615047,Learning Disability,Rookery House,"10,080.00"
Adult & Community Services,17/09/2009,2615048,Learning Disability,Rookery House,"7,252.76"
Adult & Community Services,10/09/2009,2613634,Learning Disability,Selwyn Care Ltd,"7,678.50"
Adult & Community Services,17/09/2009,2614834,Learning Disability,Selwyn Care Ltd,"7,947.90"
Adult & Community Services,03/09/2009,2612518,Learning Disability,Sense,"10,284.30"
Adult & Community Services,03/09/2009,2612515,Learning Disability,Silver Birches,"6,806.87"
Adult & Community Services,01/10/2009,2617345,Learning Disability,St Davids Care in the Community Ltd,"1,897.20"
Adult & Community Services,10/09/2009,2613646,Learning Disability,St Elizabeths School,"9,138.15"
Adult & Community Services,01/09/2009,2612363,Learning Disability,Stable Family Home Trust,"1,816.29"
Adult & Community Services,01/09/2009,2612364,Learning Disability,Stable Family Home Trust,736.76
Adult & Community Services,16/09/2009,2614368,Learning Disability,The Consortium,561.04
Adult & Community Services,03/09/2009,2612494,Learning Disability,The Home Farm Trust,"3,309.81"
Adult & Community Services,01/10/2009,2617311,Learning Disability,The Home Farm Trust,"3,420.14"
Adult & Community Services,03/09/2009,2612512,Learning Disability,The National Autistic Society,"7,142.96"
Adult & Community Services,03/09/2009,2612493,Learning Disability,The Otterhayes Trust Ltd,"1,536.44"
Adult & Community Services,01/09/2009,2612366,Learning Disability,Tilehurst Lodge Residential Home,"4,847.10"
Adult & Community Services,01/10/2009,2617276,Learning Disability,Tilehurst Lodge Residential Home,"4,857.09"
Adult & Community Services,10/09/2009,2613658,Learning Disability,Truecare Group Ltd,"6,626.40"
Adult & Community Services,10/09/2009,2613647,Learning Disability,Truecare Holdings Ltd,"4,517.57"
Adult & Community Services,03/09/2009,2612520,Learning Disability,Turnstone Support,"1,665.60"
Adult & Community Services,03/09/2009,2612521,Learning Disability,Turnstone Support,"5,143.32"
Adult & Community Services,03/09/2009,2612522,Learning Disability,Turnstone Support,"1,242.00"
Adult & Community Services,03/09/2009,2612720,Learning Disability,Turnstone Support,"4,352.54"
Adult & Community Services,03/09/2009,2612721,Learning Disability,Turnstone Support,"2,498.36"
Adult & Community Services,03/09/2009,2612723,Learning Disability,Turnstone Support,"1,873.76"
Adult & Community Services,03/09/2009,2612724,Learning Disability,Turnstone Support,"1,124.27"
Adult & Community Services,03/09/2009,2612725,Learning Disability,Turnstone Support,"1,873.76"
Adult & Community Services,03/09/2009,2612726,Learning Disability,Turnstone Support,"1,873.76"
Adult & Community Services,03/09/2009,2612727,Learning Disability,Turnstone Support,859.2
Adult & Community Services,03/09/2009,2612729,Learning Disability,Turnstone Support,749.49
Adult & Community Services,10/09/2009,2613343,Learning Disability,Turnstone Support,"3,239.70"
Adult & Community Services,10/09/2009,2613344,Learning Disability,Turnstone Support,"9,577.20"
Adult & Community Services,12/09/2009,2613345,Learning Disability,Turnstone Support,"35,265.26"
Adult & Community Services,10/09/2009,2613703,Learning Disability,Vansett Nursing Home,"2,430.00"
Adult & Community Services,17/09/2009,2615049,Learning Disability,William Blake House,"5,328.30"
Adult & Community Services,23/09/2009,2616028,Learning Disability,Windsor & District Housing Association,"18,963.84"
Adult & Community Services,22/09/2009,2616029,Learning Disability,Windsor & District Housing Association,"4,590.00"
Adult & Community Services,01/09/2009,2612369,Learning Disability,Wokingham Borough Council,759.6
Adult & Community Services,01/09/2009,2612370,Learning Disability,Wokingham Borough Council,"1,097.20"
Adult & Community Services,01/09/2009,2612371,Learning Disability,Wokingham Borough Council,"1,097.20"
Adult & Community Services,21/09/2009,2615421,Learning Disability,Wokingham Borough Council,759.6
Adult & Community Services,29/09/2009,2617384,Leisure Centres,S & C Slatter,"4,000.00"
Adult & Community Services,07/09/2009,2612949,Libraries & Information Services,2CQR Limited,"3,012.45"
Adult & Community Services,15/09/2009,2614319,Libraries & Information Services,Askews Library Services Ltd,787.92
Adult & Community Services,15/09/2009,2614320,Libraries & Information Services,Askews Library Services Ltd,878.2
Adult & Community Services,18/09/2009,2615366,Libraries & Information Services,Askews Library Services Ltd,855.04
Adult & Community Services,25/09/2009,2616749,Libraries & Information Services,Askews Library Services Ltd,"1,575.98"
Adult & Community Services,18/09/2009,2615386,Libraries & Information Services,Bertram Library Services,500.3
Adult & Community Services,15/09/2009,2614279,Libraries & Information Services,Birmingham City Council,"2,153.00"
Adult & Community Services,15/09/2009,2614282,Libraries & Information Services,Bright Book Supplies Ltd,689.35
Adult & Community Services,18/09/2009,2615513,Libraries & Information Services,Dell  Corporation Ltd,"1,133.16"
Adult & Community Services,16/09/2009,2614748,Libraries & Information Services,First Beeline Buses Ltd,546.66
Adult & Community Services,10/09/2009,2613602,Libraries & Information Services,Holloway & James Ltd,"3,330.00"
Adult & Community Services,30/09/2009,2617371,Libraries & Information Services,Kentwood Associates,"5,475.00"
Adult & Community Services,15/09/2009,2614318,Libraries & Information Services,Peters Bookselling Services,999.36
Adult & Community Services,25/09/2009,2616792,Libraries & Information Services,Peters Bookselling Services,527.24
Adult & Community Services,11/09/2009,2614130,Libraries & Information Services,Ryder Truck Rental,822.7
Adult & Community Services,11/09/2009,2613448,Libraries & Information Services,Security Control Systems,780
Adult & Community Services,23/09/2009,2614722,Libraries & Information Services,Solo Service Group,"1,392.45"
Adult & Community Services,23/09/2009,2614722,Libraries & Information Services,Solo Service Group,563.19
Adult & Community Services,25/09/2009,2616364,Libraries & Information Services,Southern Electric Plc,595.75
Adult & Community Services,15/09/2009,2614628,Libraries & Information Services,Total Memory & Media Ltd,"1,495.00"
Adult & Community Services,23/09/2009,2616048,Library & Information Services,Tuffin Ferraby & Taylor,"3,670.45"
Adult & Community Services,10/09/2009,2613595,Magnet Leisure Centre,Combined Power (South) Ltd,"2,983.36"
Adult & Community Services,21/09/2009,2615207,Magnet Leisure Centre,G T Refrigeration (Chertsey) Ltd,"1,495.00"
Adult & Community Services,17/09/2009,2615274,Magnet Leisure Centre,Northern Leisure Group,"1,355.00"
Adult & Community Services,21/09/2009,2614935,Magnet Leisure Centre,Sico Europe Ltd,745
Adult & Community Services,10/09/2009,2613263,Magnet Leisure Centre,Siemens Water Technologies,515
Adult & Community Services,17/09/2009,2614940,Magnet Leisure Centre,Solo Service Group,"13,127.00"
Adult & Community Services,21/09/2009,2615196,Magnet Leisure Centre,South East Water Plc,"1,795.58"
Adult & Community Services,02/09/2009,2611981,Magnet Leisure Centre,Thames Water Utilities Ltd,"1,068.89"
Adult & Community Services,29/09/2009,2617442,Magnet Leisure Centre,The Thames Group,"2,517.50"
Adult & Community Services,21/09/2009,2615434,Magnet Leisure Centre,Total Gas & Power Limited,"7,671.93"
Adult & Community Services,02/09/2009,2612311,Magnet Leisure Centre,Zoggs International Ltd,"1,044.00"
Adult & Community Services,10/09/2009,2613725,Mental Health,Albany House,"2,424.00"
Adult & Community Services,17/09/2009,2615001,Mental Health,Albany House,"2,626.00"
Adult & Community Services,17/09/2009,2614992,Mental Health,Aldwick Residential Care Home,"1,244.32"
Adult & Community Services,10/09/2009,2613165,Mental Health,Berkshire Healthcare NHS Trust,"2,473.15"
Adult & Community Services,08/09/2009,2613169,Mental Health,Berkshire Healthcare NHS Trust,"2,552.08"
Adult & Community Services,08/09/2009,2613170,Mental Health,Berkshire Healthcare NHS Trust,"4,580.85"
Adult & Community Services,17/09/2009,2614848,Mental Health,Chalfont Lodge Nursing Home,"3,816.39"
Adult & Community Services,24/09/2009,2616679,Mental Health,Chalfont Lodge Nursing Home,"7,169.23"
Adult & Community Services,10/09/2009,2613672,Mental Health,CHOICE LTD,"3,857.15"
Adult & Community Services,16/09/2009,2614131,Mental Health,Churchill Contract Services Ltd,770.17
Adult & Community Services,08/09/2009,2612499,Mental Health,Craegmoor Healthcare,"3,411.26"
Adult & Community Services,10/09/2009,2613637,Mental Health,Harts Leap(Sandhurst) Ltd,"3,123.81"
Adult & Community Services,10/09/2009,2613717,Mental Health,Independent Living Group Ltd,"5,298.19"
Adult & Community Services,18/09/2009,2615419,Mental Health,Independent Living Group Ltd,"5,474.78"
Adult & Community Services,24/09/2009,2616380,Mental Health,KorCare Ltd,"3,439.59"
Adult & Community Services,17/09/2009,2615154,Mental Health,Maidenhead & District Housing Association,874.5
Adult & Community Services,17/09/2009,2615150,Mental Health,Matrix Service Development & Training Limited,619
Adult & Community Services,14/09/2009,2614264,Mental Health,Positiveliving,"5,550.00"
Adult & Community Services,14/09/2009,2614265,Mental Health,Positiveliving,"3,835.71"
Adult & Community Services,17/09/2009,2615153,Mental Health,Positiveliving,"6,193.57"
Adult & Community Services,24/09/2009,2616135,Mental Health,Positiveliving,"6,407.14"
Adult & Community Services,17/09/2009,2614996,Mental Health,Radcliffe House,"2,380.71"
Adult & Community Services,17/09/2009,2614827,Mental Health,Reading Borough Council,"2,237.06"
Adult & Community Services,01/09/2009,2612210,Mental Health,Rethink,"84,264.00"
Adult & Community Services,11/09/2009,2613940,Mental Health,Sanford House Limited,"3,059.40"
Adult & Community Services,11/09/2009,2614010,Mental Health,Sanford House Limited,"3,059.40"
Adult & Community Services,11/09/2009,2614013,Mental Health,Sanford House Limited,"3,161.38"
Adult & Community Services,14/09/2009,2614341,Mental Health,The Kingwood Trust,"1,553.78"
Adult & Community Services,10/09/2009,2613574,Mental Health,Truecare Group Ltd,"13,762.80"
Adult & Community Services,17/09/2009,2615050,Mental Health,Voyage Ltd,"6,859.28"
Adult & Community Services,28/09/2009,2617070,Outdoor Facilities,Allison Home Services,"7,776.65"
Adult & Community Services,03/09/2009,2612487,Outdoor Facilities,ALP Electrical (Maidenhead) Limited,"3,200.00"
Adult & Community Services,21/09/2009,2615895,Outdoor Facilities,Blakedown Landscapes (SE) Ltd,"13,817.17"
Adult & Community Services,02/09/2009,2612380,Outdoor Facilities,Croft Fencing,"2,500.00"
Adult & Community Services,01/10/2009,2618077,Outdoor Facilities,Croft Fencing,"1,716.94"
Adult & Community Services,03/09/2009,2612619,Outdoor Facilities,Drayton Fencing,"4,927.00"
Adult & Community Services,14/09/2009,2613592,Outdoor Facilities,Elite Landscapes Limited,"12,711.23"
Adult & Community Services,18/09/2009,2615439,Outdoor Facilities,Goodger Design Associates,"1,533.00"
Adult & Community Services,02/09/2009,2612400,Outdoor Facilities,Henley Signpeople Ltd,"1,010.00"
Adult & Community Services,23/09/2009,2616280,Outdoor Facilities,Maidenhead Athletics Club,"2,165.46"
Adult & Community Services,29/09/2009,2617384,Outdoor Facilities,S & C Slatter,"2,985.06"
Adult & Community Services,28/09/2009,2617026,Outdoor Facilities,Sherwood Bros & Burton (Maidenhead) Ltd,"1,456.00"
Adult & Community Services,28/09/2009,2617028,Outdoor Facilities,Sherwood Bros & Burton (Maidenhead) Ltd,"3,438.51"
Adult & Community Services,03/09/2009,2612650,Outdoor Facilities,Tilhill Forestry Ltd,854
Adult & Community Services,18/09/2009,2615442,Outdoor Facilities,Tilhill Forestry Ltd,"1,425.00"
Adult & Community Services,24/09/2009,2616417,Parks & Open Spaces,Berkshire Tree Care,"2,455.00"
Adult & Community Services,21/09/2009,2615751,Parks & Open Spaces,Comet Pump and Engineering Ltd t/asComet Tankers,750
Adult & Community Services,08/09/2009,2612742,Parks & Open Spaces,ISS Waterers Landscape,"73,137.29"
Adult & Community Services,02/09/2009,2610153,Parks & Open Spaces,SDK Environment Ltd,"2,484.00"
Adult & Community Services,14/09/2009,2614262,Safeguarding & Specialist Services,Academy Social Care Limited,"2,508.90"
Adult & Community Services,14/09/2009,2614263,Safeguarding & Specialist Services,Academy Social Care Limited,"2,508.90"
Adult & Community Services,01/09/2009,2611358,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"3,235.00"
Adult & Community Services,22/09/2009,2614623,Safeguarding & Specialist Services,Ambleglow Ltd,833
Adult & Community Services,22/09/2009,2614624,Safeguarding & Specialist Services,Ambleglow Ltd,"1,039.78"
Adult & Community Services,30/09/2009,2617170,Safeguarding & Specialist Services,Ambleglow Ltd,766.5
Adult & Community Services,18/09/2009,2615623,Safeguarding & Specialist Services,Apollo Cars,898.8
Adult & Community Services,01/09/2009,2612356,Safeguarding & Specialist Services,Barnardo Services Limited,572
Adult & Community Services,08/09/2009,2612825,Safeguarding & Specialist Services,Baystorm Consultancy Limited,"1,276.80"
Adult & Community Services,14/09/2009,2614234,Safeguarding & Specialist Services,Baystorm Consultancy Limited,"1,295.20"
Adult & Community Services,14/09/2009,2614235,Safeguarding & Specialist Services,Baystorm Consultancy Limited,"1,258.00"
Adult & Community Services,28/09/2009,2616996,Safeguarding & Specialist Services,Baystorm Consultancy Limited,"1,258.00"
Adult & Community Services,11/09/2009,2614210,Safeguarding & Specialist Services,Beresford Blake Thomas Ltd,750
Adult & Community Services,18/09/2009,2615296,Safeguarding & Specialist Services,Beresford Blake Thomas Ltd,750
Adult & Community Services,22/09/2009,2616070,Safeguarding & Specialist Services,Beresford Blake Thomas Ltd,750
Adult & Community Services,29/09/2009,2617172,Safeguarding & Specialist Services,Beresford Blake Thomas Ltd,643.75
Adult & Community Services,01/09/2009,2611250,Safeguarding & Specialist Services,Berkshire College Of Agriculture,"3,630.00"
Adult & Community Services,18/09/2009,2614608,Safeguarding & Specialist Services,Bracknell Forest Borough Council,"6,453.58"
Adult & Community Services,30/09/2009,2616672,Safeguarding & Specialist Services,Bryn Melyn Care,"7,014.29"
Adult & Community Services,30/09/2009,2616673,Safeguarding & Specialist Services,Bryn Melyn Care,"21,744.29"
Adult & Community Services,30/09/2009,2616674,Safeguarding & Specialist Services,Bryn Melyn Care,"21,042.86"
Adult & Community Services,14/09/2009,2614139,Safeguarding & Specialist Services,Calcot Services for Children,"12,710.00"
Adult & Community Services,14/09/2009,2614142,Safeguarding & Specialist Services,Calcot Services for Children,"11,870.00"
Adult & Community Services,01/09/2009,2612157,Safeguarding & Specialist Services,Chailey Heritage School,"2,010.00"
Adult & Community Services,08/09/2009,2612438,Safeguarding & Specialist Services,Clifton Guest House,630
Adult & Community Services,03/09/2009,2610218,Safeguarding & Specialist Services,Community Information Services Ltd,770
Adult & Community Services,30/09/2009,2616470,Safeguarding & Specialist Services,Community Information Services Ltd,"1,195.00"
Adult & Community Services,14/09/2009,2614134,Safeguarding & Specialist Services,Donald McPhail Consultancy Ltd,"6,000.00"
Adult & Community Services,25/09/2009,2616678,Safeguarding & Specialist Services,Easthampstead Baptist Church,780
Adult & Community Services,01/09/2009,2611332,Safeguarding & Specialist Services,familyplacement.com ltd,"2,804.00"
Adult & Community Services,07/09/2009,2612922,Safeguarding & Specialist Services,Fitzgerald Fostering and Consultancy Ltd,"3,526.80"
Adult & Community Services,07/09/2009,2612923,Safeguarding & Specialist Services,Fitzgerald Fostering and Consultancy Ltd,"4,212.40"
