Directorate,Updated,Service,Supplier Name,Amount,Type
Children's Services,27/03/2010,Families & Young People,D H Electrical Services Ltd,"1,382.00",Revenue
Adult & Community Services,09/01/2010,Libraries & Information Services,D H Electrical Services Ltd,"6,374.48",Revenue
Children's Services,31/03/2010,Families & Young People,D M Screenprint,876.4,Revenue
Children's Services,24/03/2010,Safeguarding & Specialist Services,D M Screenprint,738.25,Revenue
Environmental Services,03/03/2010,Public Protection,D.W.Services,"4,650.00",Capital
Adult & Community Services,01/03/2010,Mental Health,Dale Emberton Associates,750,Revenue
Children's Services,10/03/2010,DSG Funded School Costs,Daly Electrical Services Ltd,809.26,Revenue
Environmental Services,03/03/2010,Traffic Management,Dambach U.K. Ltd,610,Revenue
Children's Services,01/02/2010,ISB,Datasharp Independent Solutions Ltd,"2,853.76",Revenue
Children's Services,16/03/2010,ISB,Datasharp Independent Solutions Ltd,"1,012.84",Revenue
Children's Services,05/02/2010,Families & Young People,Datchet Water Sailing Club,"2,700.00",Revenue
Children's Services,16/03/2010,Families & Young People,Datchet Water Sailing Club,"5,000.00",Revenue
Children's Services,10/03/2010,ISB,David John (Papers) Ltd,"2,565.00",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,David Lewis Centre-Epilepsy,"3,106.51",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,David Lewis Centre-Epilepsy,"2,805.88",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,David Lewis Centre-Epilepsy,"3,106.51",Revenue
Resources,22/02/2010,Legal Services,David Price Solicitors & Advocates,"1,014.00",Revenue
Children's Services,04/03/2010,ISB,Dawkes Music Ltd,708.94,Revenue
Adult & Community Services,02/02/2010,Windsor Leisure Centre,Dayla Ltd,514.31,Revenue
"Policy,Performance & Planning",05/01/2010,Town Management,De Vere Venues,"2,530.41",Revenue
Resources,22/01/2010,Business Improvement,Dell  Corporation Ltd,533.1,Capital
Resources,05/02/2010,Business Improvement,Dell  Corporation Ltd,"1,044.00",Capital
Resources,15/02/2010,Business Improvement,Dell  Corporation Ltd,597.18,Capital
Resources,10/03/2010,Business Improvement,Dell  Corporation Ltd,"1,202.36",Capital
Resources,10/03/2010,Business Improvement,Dell  Corporation Ltd,553.1,Capital
Resources,10/03/2010,Business Improvement,Dell  Corporation Ltd,553.09,Capital
Resources,27/03/2010,Business Improvement,Dell  Corporation Ltd,577.6,Capital
Resources,30/03/2010,Business Improvement,Dell  Corporation Ltd,696.25,Capital
Childrens Services,02/02/2010,Schools-Non Devolved,Dell  Corporation Ltd,"2,376.56",Capital
Childrens Services,05/03/2010,Schools-Non Devolved,Dell  Corporation Ltd,"32,701.44",Capital
Childrens Services,15/03/2010,Schools-Devolved Capital,Dell  Corporation Ltd,"1,809.00",Capital
Resources,05/02/2010,Directorate Support,Dell  Corporation Ltd,686.56,Revenue
Resources,22/01/2010,Customer Service Centre,Dell  Corporation Ltd,533.1,Revenue
Resources,28/03/2010,Customer Service Centre,Dell  Corporation Ltd,674.3,Revenue
Resources,04/01/2010,Housing & Council Tax Benefits,Dell  Corporation Ltd,"1,011.45",Revenue
Resources,24/03/2010,Pensions Fund,Dell  Corporation Ltd,533.1,Revenue
Environmental Services,10/03/2010,Operations,Dell  Corporation Ltd,537.1,Revenue
Environmental Services,28/03/2010,Environmental Health,Dell  Corporation Ltd,550.5,Revenue
Environmental Services,15/02/2010,Waste Management,Dell  Corporation Ltd,533.1,Revenue
Environmental Services,15/02/2010,Waste Management,Dell  Corporation Ltd,632.17,Revenue
Environmental Services,10/03/2010,Waste Management,Dell  Corporation Ltd,533.1,Revenue
Children's Services,22/01/2010,Families & Young People,Dell  Corporation Ltd,"2,132.40",Revenue
Children's Services,09/03/2010,Families & Young People,Dell  Corporation Ltd,"1,599.30",Revenue
Children's Services,09/03/2010,Families & Young People,Dell  Corporation Ltd,533.1,Revenue
Children's Services,23/03/2010,Families & Young People,Dell  Corporation Ltd,537.1,Revenue
Children's Services,02/02/2010,ISB,Dell  Corporation Ltd,"2,491.52",Revenue
Children's Services,04/03/2010,ISB,Dell  Corporation Ltd,"26,527.05",Revenue
Children's Services,18/03/2010,ISB,Dell  Corporation Ltd,"14,442.88",Revenue
Children's Services,23/03/2010,Safeguarding & Specialist Services,Dell  Corporation Ltd,"1,812.32",Revenue
Adult & Community Services,22/01/2010,Elderly & Physical Disability,Dell  Corporation Ltd,533.1,Revenue
Adult & Community Services,22/01/2010,Elderly & Physical Disability,Dell  Corporation Ltd,605.2,Revenue
Adult & Community Services,24/03/2010,Elderly & Physical Disability,Dell  Corporation Ltd,533.1,Revenue
"Policy,Performance & Planning",15/02/2010,Head of Planning,Dell  Corporation Ltd,632.17,Revenue
"Policy,Performance & Planning",09/03/2010,Partnerships,Dell  Corporation Ltd,804.61,Revenue
"Policy,Performance & Planning",22/01/2010,Head of Policy & Performance,Dell  Corporation Ltd,533.1,Revenue
"Policy,Performance & Planning",27/03/2010,Member Services,Dell  Corporation Ltd,533.1,Revenue
Adult & Community Services,29/03/2010,Library & Information Services,Demco Interiors,"2,268.03",Capital
Resources,08/01/2010,Corporate HR,Dementia Care Seminars,780,Revenue
Adult & Community Services,22/01/2010,Elderly & Physical Disability,Denham Manor Nursing Home,"2,596.73",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Derbyshire Haven Residential Home,"1,740.47",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Derbyshire Haven Residential Home,"1,572.04",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Derbyshire Haven Residential Home,"1,740.47",Revenue
Children's Services,30/03/2010,Families & Young People,Designs for Education Ltd,"1,010.00",Revenue
Children's Services,03/03/2010,Education & Childcare Services,Diane Broomhead t/a  Broomhead Training,650,Revenue
Adult & Community Services,30/03/2010,Concessionary Transport,Dicksons Travel,"1,549.45",Revenue
Children's Services,28/01/2010,ISB,Digby & Co (Neckwear) Limited,"3,262.12",Revenue
Children's Services,18/02/2010,ISB,Digital Home Engineering,880,Revenue
Children's Services,18/02/2010,ISB,Digital Home Engineering,930,Revenue
Children's Services,18/02/2010,ISB,Digital Home Engineering,660,Revenue
Adult & Community Services,25/01/2010,Elderly & Physical Disability,Dimensions (NSO) Ltd,"1,013.84",Revenue
Adult & Community Services,15/02/2010,Elderly & Physical Disability,Dimensions (NSO) Ltd,"1,630.01",Revenue
Adult & Community Services,15/03/2010,Elderly & Physical Disability,Dimensions (NSO) Ltd,"1,075.02",Revenue
Children's Services,08/02/2010,Families & Young People,DJ Maintenance,820,Revenue
Resources,05/01/2010,Council Tax & Business Rates Collection,Document Output Solutions UK Limited,"1,575.00",Revenue
Environmental Services,22/03/2010,Coach & Car Parks,Doherty Baines Chartered Surveyors,"11,305.18",Revenue
Adult & Community Services,16/02/2010,Libraries & Information Services,Dolphin Computer Access Limited,"2,048.00",Revenue
Children's Services,15/03/2010,Safeguarding & Specialist Services,Donald McPhail Consultancy Ltd,"5,000.00",Revenue
Children's Services,31/03/2010,Safeguarding & Specialist Services,Donald McPhail Consultancy Ltd,"3,500.00",Revenue
"Policy,Performance & Planning",15/03/2010,Consultation,Dor-2-Dor (Windsor),"6,457.50",Revenue
Adult & Community Services,14/01/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,012.79",Revenue
Adult & Community Services,18/01/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,457.59",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"4,130.35",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,524.29",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"3,543.26",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,379.26",Revenue
Adult & Community Services,22/02/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"3,200.36",Revenue
Adult & Community Services,22/02/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"3,730.64",Revenue
Adult & Community Services,22/02/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,219.76",Revenue
Adult & Community Services,22/02/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"1,140.00",Revenue
Adult & Community Services,22/02/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,280.00",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"1,818.00",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,012.79",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"3,543.26",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,524.29",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,457.59",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"4,130.35",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Downsview Care Centre,"2,391.43",Revenue
Adult & Community Services,15/01/2010,Elderly & Physical Disability,Downsview Care Centre,"1,234.28",Revenue
Children's Services,23/03/2010,Families & Young People,Drama Ra! Ra! Ra!,600,Revenue
Environmental Services,29/03/2010,Waste Management,Drhal.co.uk,"3,012.00",Revenue
Adult & Community Services,27/01/2010,Library & Information Services,Drivers Jonas LLP,"12,000.00",Capital
Adult & Community Services,02/03/2010,Library & Information Services,Drivers Jonas LLP,"3,000.00",Capital
Adult & Community Services,17/03/2010,Library & Information Services,Drivers Jonas LLP,"2,990.00",Capital
Children's Services,05/02/2010,Education & Childcare Services,Drum Runners Trading,600,Revenue
Children's Services,23/02/2010,Safeguarding & Specialist Services,Drum Runners Trading,600,Revenue
Children's Services,18/01/2010,ISB,Drumwright,"1,422.05",Revenue
"Policy,Performance & Planning",26/01/2010,Town & Country Planning,DTZ,"15,126.30",Revenue
"Policy,Performance & Planning",28/01/2010,Town & Country Planning,DTZ,"2,750.00",Revenue
"Policy,Performance & Planning",22/03/2010,Town & Country Planning,DTZ,"2,070.14",Revenue
Children's Services,25/02/2010,Families & Young People,Duncan Hartree T/A Get Racing,600,Revenue
Childrens Services,04/01/2010,Schools-Non Devolved,Durkan Ltd,"259,000.00",Capital
Childrens Services,05/03/2010,Schools-Devolved Capital,Durkan Ltd,"30,000.00",Capital
Childrens Services,05/03/2010,Schools-Non Devolved,Durkan Ltd,"145,000.00",Capital
Resources,24/02/2010,Directorate Support,DW Contractors (Oxford) Ltd,"2,032.00",Revenue
Resources,11/02/2010,Directorate Support,DX Network Services Limited,"1,092.00",Revenue
Adult & Community Services,19/01/2010,Learning Disability,Dysons Wood Trust,"8,140.29",Revenue
Adult & Community Services,19/01/2010,Learning Disability,Dysons Wood Trust,"7,647.70",Revenue
Adult & Community Services,12/02/2010,Learning Disability,Dysons Wood Trust,"7,352.52",Revenue
Adult & Community Services,12/02/2010,Learning Disability,Dysons Wood Trust,"6,907.60",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Dysons Wood Trust,"8,140.29",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Dysons Wood Trust,"7,647.70",Revenue
Children's Services,05/02/2010,DSG Funded School Costs,E Russum & Sons Ltd,540,Revenue
Children's Services,29/03/2010,DSG Funded School Costs,E Russum & Sons Ltd,552,Revenue
Children's Services,31/03/2010,DSG Funded School Costs,E Russum & Sons Ltd,552,Revenue
Children's Services,31/03/2010,DSG Funded School Costs,E Russum & Sons Ltd,552,Revenue
Children's Services,27/03/2010,Families & Young People,Early Excellence Limited,"1,124.00",Revenue
Environmental Services,16/03/2010,Coach & Car Parks,East Berkshire College,"5,996.89",Revenue
Environmental Services,16/03/2010,Coach & Car Parks,East Berkshire College,"2,538.92",Revenue
Children's Services,26/01/2010,Education & Childcare Services,East Berkshire College,908,Revenue
Children's Services,05/02/2010,Education & Childcare Services,East Berkshire College,908,Revenue
Children's Services,05/02/2010,Education & Childcare Services,East Berkshire College,908,Revenue
Children's Services,05/02/2010,Education & Childcare Services,East Berkshire College,908,Revenue
Children's Services,10/02/2010,Education & Childcare Services,East Berkshire College,"1,135.00",Revenue
Children's Services,10/02/2010,Education & Childcare Services,East Berkshire College,"1,135.00",Revenue
Children's Services,10/02/2010,Education & Childcare Services,East Berkshire College,908,Revenue
Children's Services,10/02/2010,Education & Childcare Services,East Berkshire College,660,Revenue
Children's Services,03/03/2010,Education & Childcare Services,East Berkshire College,660,Revenue
Children's Services,29/03/2010,Education & Childcare Services,East Berkshire College,"1,181.81",Revenue
Children's Services,17/03/2010,Families & Young People,East Berkshire College,"9,193.95",Revenue
Children's Services,17/03/2010,Education & Childcare Services,East Berkshire Education Business Partnership,"10,000.00",Revenue
Children's Services,13/01/2010,ISB,East Berkshire Education Business Partnership,"1,944.00",Revenue
Children's Services,22/03/2010,ISB,East Berkshire Education Business Partnership,750,Revenue
Resources,05/02/2010,Corporate HR,Easthampstead Park Conference,883,Revenue
Environmental Services,14/01/2010,Public Protection,Easy Care Systems,"1,184.00",Capital
Children's Services,05/01/2010,Safeguarding & Specialist Services,Easy Care Systems,590,Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Easy Care Systems,614,Revenue
Children's Services,04/03/2010,ISB,EBM HP Office Centre Ltd,"1,930.00",Revenue
Adult & Community Services,24/02/2010,Library & Information Services,Ecolab,559.66,Capital
Environmental Services,08/02/2010,Admin Buildings & Depots,Eden Springs UK Ltd,567.16,Revenue
Environmental Services,11/02/2010,Admin Buildings & Depots,Eden Springs UK Ltd,927.56,Revenue
Environmental Services,19/02/2010,Admin Buildings & Depots,Eden Springs UK Ltd,"1,496.37",Revenue
Environmental Services,10/03/2010,Admin Buildings & Depots,Eden Springs UK Ltd,"1,926.97",Revenue
Environmental Services,10/03/2010,Admin Buildings & Depots,Eden Springs UK Ltd,"1,620.44",Revenue
Children's Services,08/03/2010,ISB,Edexcel Ltd,620,Revenue
Children's Services,17/03/2010,ISB,Edexcel Ltd,"8,313.80",Revenue
Childrens Services,10/03/2010,Schools-Non Devolved,Edgington Spink & Hyne,"5,967.50",Capital
Childrens Services,04/02/2010,Non Schools,Edith Rose Day Nursery,650,Capital
Children's Services,13/01/2010,ISB,Edith Rose Day Nursery,"4,978.88",Revenue
Children's Services,02/03/2010,ISB,Edith Rose Day Nursery,976.25,Revenue
Children's Services,13/01/2010,ISB,Edith Rose Day Nursery,"3,734.16",Revenue
Children's Services,02/03/2010,ISB,Edith Rose Day Nursery,512.53,Revenue
Children's Services,17/03/2010,Safeguarding & Specialist Services,Edith Rose Day Nursery,"2,093.55",Revenue
Children's Services,23/03/2010,Education & Childcare Services,Education Moves Ltd,"3,161.00",Revenue
Children's Services,11/01/2010,ISB,EducationCity Ltd,912,Revenue
Children's Services,20/01/2010,Education & Childcare Services,Educor Ltd,"6,000.00",Revenue
Resources,26/02/2010,Procurement,E-Government Solutions (UK) Ltd,"6,055.00",Revenue
Resources,13/01/2010,Corporate HR,Eileen M Charlton,540,Revenue
Adult & Community Services,24/02/2010,Joint Commissioning,EJS Associates,"1,417.20",Revenue
Childrens Services,29/03/2010,Schools-Non Devolved,Electrical Power Specialists Ltd,"2,025.07",Capital
Environmental Services,24/03/2010,Highway Maintenance,Electrical Testing Ltd,"11,279.73",Revenue
Environmental Services,22/03/2010,Admin Buildings & Depots,Electricity Supply Nominees Ltd,"12,467.17",Revenue
Environmental Services,22/03/2010,Admin Buildings & Depots,Electricity Supply Nominees Ltd,"8,971.22",Revenue
Children's Services,13/03/2010,DSG Funded School Costs,Electrolux Foodservice Equipment,940.5,Revenue
Children's Services,30/03/2010,DSG Funded School Costs,Electrolux Foodservice Equipment,940.5,Revenue
Children's Services,30/03/2010,DSG Funded School Costs,Electrolux Foodservice Equipment,940.5,Revenue
Children's Services,31/03/2010,DSG Funded School Costs,Electrolux Foodservice Equipment,940.5,Revenue
Adult & Community Services,31/03/2010,Outdoor Facilities,Elite Landscapes Limited,"13,203.56",Capital
Children's Services,25/02/2010,ISB,Elite Squad (Entertainments) Ltd,"1,000.00",Revenue
Adult & Community Services,05/01/2010,Learning Disability,Elizabeth Fitzroy Support,"5,956.21",Revenue
Adult & Community Services,02/02/2010,Learning Disability,Elizabeth Fitzroy Support,"5,379.80",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Elizabeth Fitzroy Support,"5,956.21",Revenue
Adult & Community Services,05/01/2010,Learning Disability,Elizabeth Fitzroy Support,"5,413.80",Revenue
Adult & Community Services,01/02/2010,Learning Disability,Elizabeth Fitzroy Support,"4,889.88",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Elizabeth Fitzroy Support,"5,413.80",Revenue
Children's Services,04/03/2010,Children's Services Management Team,Emap Conferences,579,Revenue
Environmental Services,14/03/2010,Head of Public Protection and Sustainability,Emap Education,"1,700.00",Revenue
Environmental Services,27/03/2010,Emergency Planning,Emergency Planning Society,"1,089.00",Revenue
Adult & Community Services,18/03/2010,Parks & Open Spaces,English Woodlands,522,Revenue
Adult & Community Services,12/02/2010,Windsor Leisure Centre,Enigma Visual Solutions Limited,555,Revenue
Environmental Services,22/01/2010,Highway Maintenance,Equanet,612.69,Revenue
Children's Services,05/03/2010,ISB,Equanet,524.34,Revenue
Adult & Community Services,13/01/2010,Magnet Leisure Centre,ERIKS Electro Mechanical Services(WYKO EMS),"3,486.40",Revenue
"Policy,Performance & Planning",25/01/2010,Town Management,Ernest Bond Printing Limited,"6,650.00",Revenue
Adult & Community Services,05/01/2010,Concessionary Transport,ESP Systex Ltd,"4,725.00",Revenue
Adult & Community Services,19/02/2010,Concessionary Transport,ESP Systex Ltd,827.02,Revenue
Adult & Community Services,23/03/2010,Concessionary Transport,ESP Systex Ltd,"3,335.00",Revenue
Resources,04/01/2010,Corporate IT,ESRI (UK),"25,140.00",Revenue
Childrens Services,23/03/2010,Schools-Devolved Capital,ETC Grass Machinery,"3,100.00",Capital
Children's Services,15/02/2010,ISB,eteach.com,750,Revenue
Children's Services,03/02/2010,Education & Childcare Services,Eton Cars,"1,111.56",Revenue
Children's Services,03/02/2010,Education & Childcare Services,Eton Cars,"1,400.00",Revenue
Children's Services,03/02/2010,Education & Childcare Services,Eton Cars,"3,030.53",Revenue
Children's Services,03/02/2010,Education & Childcare Services,Eton Cars,"4,508.35",Revenue
Children's Services,03/02/2010,Education & Childcare Services,Eton Cars,741.04,Revenue
Children's Services,08/03/2010,Education & Childcare Services,Eton Cars,"1,050.00",Revenue
Children's Services,08/03/2010,Education & Childcare Services,Eton Cars,"3,051.85",Revenue
Children's Services,08/03/2010,Education & Childcare Services,Eton Cars,"3,895.63",Revenue
Children's Services,08/03/2010,Education & Childcare Services,Eton Cars,555.78,Revenue
Adult & Community Services,04/02/2010,Learning Disability,Eton Cars,"1,170.00",Revenue
Adult & Community Services,15/03/2010,Learning Disability,Eton Cars,"1,030.00",Revenue
Environmental Services,19/01/2010,Coach & Car Parks,Eton College,"3,000.00",Revenue
Environmental Services,29/03/2010,Coach & Car Parks,Eton College,"3,000.00",Revenue
Adult & Community Services,22/01/2010,Libraries & Information Services,Eton College,"1,000.00",Revenue
Adult & Community Services,31/03/2010,Libraries & Information Services,Eton College,"1,000.00",Revenue
"Policy,Performance & Planning",11/03/2010,Town Management,Eton College,"1,682.61",Revenue
Children's Services,13/01/2010,ISB,Eton End PNEU School,"22,736.86",Revenue
Children's Services,02/03/2010,ISB,Eton End PNEU School,"4,012.39",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Eton House Residential Home,"1,877.23",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Eton House Residential Home,"1,767.53",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Eton House Residential Home,"1,919.92",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Eton House Residential Home,"1,917.57",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Eton House Residential Home,"1,762.66",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Eton House Residential Home,"1,917.57",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Eton House Residential Home,"1,917.57",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Eton House Residential Home,"1,771.43",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Eton House Residential Home,"1,968.06",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Eton House Residential Home,"1,917.57",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Eton House Residential Home,"1,695.56",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Eton House Residential Home,"1,592.08",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Eton House Residential Home,"1,732.00",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Eton House Residential Home,"1,734.12",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Eton House Residential Home,"1,596.48",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Eton House Residential Home,"1,732.00",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Eton House Residential Home,"1,777.60",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Eton House Residential Home,"1,732.00",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Eton House Residential Home,"1,877.23",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Eton House Residential Home,"1,762.66",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Eton House Residential Home,"1,917.57",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Eton House Residential Home,"1,919.92",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Eton House Residential Home,"1,767.53",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Eton House Residential Home,"1,968.06",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Eton House Residential Home,"1,917.57",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Eton House Residential Home,"1,917.57",Revenue
Childrens Services,09/03/2010,Non Schools,Eton Town Council,"2,223.11",Capital
Children's Services,08/01/2010,Families & Young People,Eton Wick & Boveney Village Hall,"2,120.00",Revenue
Children's Services,31/03/2010,Families & Young People,Eton Wick & Boveney Village Hall,882.9,Revenue
Environmental Services,06/02/2010,Highway Maintenance,Euro Environmental Contracts Ltd,"1,120.00",Revenue
Environmental Services,08/03/2010,Highway Maintenance,Euro Environmental Contracts Ltd,"4,530.00",Revenue
Adult & Community Services,10/03/2010,Community Leisure Services,Europlants UK Ltd,"2,199.00",Revenue
Resources,03/02/2010,Business Improvement,Eurotek Office Furniture Ltd,700.04,Revenue
Resources,16/03/2010,Pensions Fund,Eurotek Office Furniture Ltd,"1,169.95",Revenue
Resources,04/01/2010,Strategic Director Resources,Eurotek Office Furniture Ltd,"1,542.84",Revenue
Resources,20/03/2010,Strategic Director Resources,Eurotek Office Furniture Ltd,568.5,Revenue
Childrens Services,09/03/2010,Schools-Devolved Capital,Eve Trakway Ltd,"1,050.00",Capital
Childrens Services,12/03/2010,Schools-Non Devolved,EW Beard T/A Beard,"42,202.84",Capital
Childrens Services,03/02/2010,Schools-Devolved Capital,Exceedia Ltd,858,Capital
Childrens Services,09/03/2010,Schools-Devolved Capital,Exceedia Ltd,785,Capital
Resources,03/02/2010,Pensions Fund,Exceedia Ltd,"1,945.00",Revenue
Resources,04/01/2010,Strategic Director Resources,Exceedia Ltd,"2,145.00",Revenue
Children's Services,08/03/2010,Families & Young People,Exceedia Ltd,"1,516.00",Revenue
Children's Services,26/02/2010,ISB,Exceedia Ltd,"1,287.00",Revenue
Children's Services,18/03/2010,ISB,Excel Pumps & Motors Ltd,"3,908.00",Revenue
Childrens Services,06/02/2010,Schools-Devolved Capital,F J Lane & Son Ltd,"1,275.00",Capital
Childrens Services,15/02/2010,Schools-Devolved Capital,F J Lane & Son Ltd,"1,831.05",Capital
Childrens Services,10/03/2010,Schools-Devolved Capital,F J Lane & Son Ltd,"1,005.00",Capital
Children's Services,19/01/2010,ISB,F J Lane & Son Ltd,"1,646.00",Revenue
Children's Services,21/01/2010,ISB,F J Lane & Son Ltd,528,Revenue
Children's Services,02/03/2010,ISB,F J Lane & Son Ltd,"2,525.00",Revenue
Children's Services,18/02/2010,ISB,F J Lane & Son Ltd,610,Revenue
Children's Services,11/03/2010,ISB,F J Lane & Son Ltd,"1,718.00",Revenue
Children's Services,23/03/2010,ISB,F J Lane & Son Ltd,"2,081.00",Revenue
Resources,08/03/2010,Directorate Support,F P Executive Agency Limited,721.75,Revenue
Children's Services,04/01/2010,Education & Childcare Services,F Roy Evans,"2,640.20",Revenue
Children's Services,19/02/2010,Families & Young People,Families Thames Valley East,500,Revenue
Children's Services,19/02/2010,Families & Young People,Families Thames Valley East,"1,932.00",Revenue
"Policy,Performance & Planning",21/01/2010,Town Management,Families Thames Valley East,500,Revenue
"Policy,Performance & Planning",20/03/2010,Town Management,Families Thames Valley East,500,Revenue
Children's Services,16/03/2010,Families & Young People,Family Friends In Windsor And Maidenhead,703,Revenue
Children's Services,22/03/2010,Families & Young People,Family Friends In Windsor And Maidenhead,"17,220.00",Revenue
Children's Services,06/01/2010,Education & Childcare Services,Family Futures Consortium,950,Revenue
Children's Services,06/01/2010,Education & Childcare Services,Family Futures Consortium,800,Revenue
Children's Services,07/01/2010,Education & Childcare Services,Family Futures Consortium,"2,150.00",Revenue
Children's Services,15/03/2010,Families & Young People,Family Planning Association,"1,600.00",Revenue
Children's Services,22/03/2010,Families & Young People,Family Planning Association,"3,200.00",Revenue
Children's Services,18/01/2010,Safeguarding & Specialist Services,familyplacement.com ltd,"2,804.00",Revenue
Children's Services,16/02/2010,Safeguarding & Specialist Services,familyplacement.com ltd,"2,804.00",Revenue
Children's Services,16/03/2010,Safeguarding & Specialist Services,familyplacement.com ltd,"2,804.00",Revenue
Children's Services,26/01/2010,Education & Childcare Services,Farbetter Consulting Ltd,"1,000.00",Revenue
Children's Services,27/01/2010,Education & Childcare Services,Fargo Coaches,"4,068.39",Revenue
Children's Services,11/02/2010,Education & Childcare Services,Fargo Coaches,"2,575.39",Revenue
Children's Services,04/03/2010,Education & Childcare Services,Fargo Coaches,"2,146.15",Revenue
Environmental Services,16/03/2010,Coach & Car Parks,Fashion Systems Ltd,"1,451.78",Revenue
Environmental Services,20/03/2010,Coach & Car Parks,Fashion Systems Ltd,"2,374.38",Revenue
Children's Services,04/02/2010,Education & Childcare Services,Fernhill Travel,"4,237.04",Revenue
Children's Services,04/03/2010,Education & Childcare Services,Fernhill Travel,"2,933.34",Revenue
Children's Services,11/01/2010,ISB,Fernhill Travel,870,Revenue
Children's Services,11/01/2010,ISB,Fernhill Travel,600,Revenue
Children's Services,23/02/2010,ISB,Fernhill Travel,515,Revenue
Children's Services,08/03/2010,ISB,Fernhill Travel,580,Revenue
Resources,08/01/2010,Council Tax & Business Rates Collection,Financial Data Management Ltd,"1,448.15",Revenue
Resources,12/02/2010,Council Tax & Business Rates Collection,Financial Data Management Ltd,"1,064.70",Revenue
Resources,12/02/2010,Council Tax & Business Rates Collection,Financial Data Management Ltd,"1,073.52",Revenue
Resources,25/03/2010,Council Tax & Business Rates Collection,Financial Data Management Ltd,"1,073.52",Revenue
Environmental Services,16/02/2010,Asset Management,Fire Protection Association,"1,851.00",Capital
Adult & Community Services,04/01/2010,Arts,Firestation,500,Revenue
Adult & Community Services,08/01/2010,Arts,Firestation,"1,060.00",Revenue
