"Wardcode","Wardname","Subgroup"
"00GAPE","Burghill","9.17.26"
"00GAPF","Castle","8.13.21"
"00GAPG","Central","3.5.8"
"00GAPH","Credenhill","7.10.16"
"00GAPJ","Frome","8.13.21"
"00GAPK","Golden Cross with Weobley","8.13.21"
"00GAPL","Golden Valley North","8.13.21"
"00GAPM","Golden Valley South","8.13.21"
"00GAPN","Hagley","7.10.16"
"00GAPP","Hampton Court","8.13.21"
"00GAPQ","Hollington","8.13.21"
"00GAPR","Hope End","9.17.26"
"00GAPS","Kerne Bridge","9.17.26"
"00GAPT","Kington Town","8.13.22"
"00GAPU","Ledbury","8.13.22"
"00GAPW","Leominster North","8.13.22"
"00GAPX","Leominster South","8.13.22"
"00GAPY","Llangarron","8.13.21"
"00GAPZ","Mortimer","8.13.21"
"00GAQA","Old Gore","8.13.21"
"00GAQB","Pembridge and Lyonshall with Titley","8.13.21"
"00GAQC","Penyard","8.13.21"
"00GAQD","Pontrilas","8.13.21"
"00GAQE","Ross-on-Wye East","8.13.22"
"00GAQF","Ross-on-Wye West","8.13.22"
"00GAQG","St Martins and Hinton","1.2.3"
"00GAQH","St Nicholas","8.13.22"
"00GAQJ","Stoney Street","7.10.16"
"00GAQK","Sutton Walls","7.10.16"
"00GAQL","Three Elms","8.13.22"
"00GAQM","Tupsley","8.13.22"
"00GAQN","Upton","8.13.21"
"00GAQP","Valletts","8.13.21"
"00GAQQ","Wormsley Ridge","8.13.21"
"00GFNM","Apley Castle","7.11.18"
"00GFNN","Arleston","1.2.3"
"00GFNP","Brookside","1.1.1"
"00GFNQ","Church Aston and Lilleshall","9.17.26"
"00GFNR","College","8.13.22"
"00GFNS","Cuckoo Oak","1.1.1"
"00GFNT","Dawley Magna","8.15.24"
"00GFNU","Donnington","1.1.1"
"00GFNW","Dothill","8.15.24"
"00GFNX","Edgmond","9.17.26"
"00GFNY","Ercall","8.14.23"
"00GFNZ","Ercall Magna","9.17.26"
"00GFPA","Hadley and Leegomery","1.1.1"
"00GFPB","Haygate","1.2.3"
"00GFPC","Horsehay and Lightmoor","7.11.18"
"00GFPD","Ironbridge Gorge","7.10.16"
"00GFPE","Ketley and Oakengates","8.15.24"
"00GFPF","Lawley and Overdale","7.11.18"
"00GFPG","Madeley","8.15.24"
"00GFPH","Malinslee","2.3.4"
"00GFPJ","Muxton","7.11.18"
"00GFPK","Newport East","7.10.16"
"00GFPL","Newport North","7.10.16"
"00GFPM","Newport South","7.10.16"
"00GFPN","Newport West","1.1.2"
"00GFPP","Park","8.15.24"
"00GFPQ","Priorslee","7.11.18"
"00GFPR","St Georges","8.15.24"
"00GFPS","Shawbirch","7.11.18"
"00GFPT","The Nedge","1.1.1"
"00GFPU","Woodside","2.3.4"
"00GFPW","Wrockwardine","7.10.16"
"00GFPX","Wrockwardine Wood and Trench","8.15.24"
"00GLMX","Abbey Green","1.1.1"
"00GLMY","Bentilee and Townsend","2.3.4"
"00GLMZ","Berryhill and Hanley East","1.1.1"
"00GLNA","Blurton","1.1.1"
"00GLNB","Burslem North","1.1.1"
"00GLNC","Burslem South","2.4.5"
"00GLND","Chell and Packmoor","8.15.24"
"00GLNE","East Valley","1.1.1"
"00GLNF","Fenton","1.1.1"
"00GLNG","Hanley West and Shelton","5.7.11"
"00GLNH","Hartshill and Penkhull","5.7.12"
"00GLNJ","Longton North","8.15.24"
"00GLNK","Longton South","1.1.1"
"00GLNL","Meir Park and Sandon","8.15.24"
"00GLNM","Northwood and Birches Head","1.1.1"
"00GLNN","Norton and Bradeley","1.1.1"
"00GLNP","Stoke and Trent Vale","2.4.5"
"00GLNQ","Trentham and Hanford","7.10.16"
"00GLNR","Tunstall","1.1.1"
"00GLNS","Weston and Meir North","1.1.1"
"00HANP","Abbey","4.6.10"
"00HANQ","Bathavon North","7.12.19"
"00HANR","Bathavon South","7.12.19"
"00HANS","Bathavon West","8.13.21"
"00HANT","Bathwick","5.7.13"
"00HANU","Chew Valley North","9.17.26"
"00HANW","Chew Valley South","9.17.26"
"00HANX","Clutton","9.17.26"
"00HANY","Combe Down","8.13.22"
"00HANZ","Farmborough","9.17.26"
"00HAPA","High Littleton","7.10.16"
"00HAPB","Keynsham East","7.12.19"
"00HAPC","Keynsham North","7.10.17"
"00HAPD","Keynsham South","8.13.22"
"00HAPE","Kingsmead","5.7.12"
"00HAPF","Lambridge","5.7.12"
"00HAPG","Lansdown","5.7.12"
"00HAPH","Lyncombe","7.12.19"
"00HAPJ","Mendip","9.17.26"
"00HAPK","Midsomer Norton North","8.15.24"
"00HAPL","Midsomer Norton Redfield","8.15.24"
"00HAPM","Newbridge","5.7.12"
"00HAPN","Odd Down","7.10.17"
"00HAPP","Oldfield","5.7.12"
"00HAPQ","Paulton","8.15.24"
"00HAPR","Peasedown","7.11.18"
"00HAPS","Publow and Whitchurch","7.10.16"
"00HAPT","Radstock","7.10.17"
"00HAPU","Saltford","9.17.26"
"00HAPW","Southdown","7.10.17"
"00HAPX","Timsbury","7.10.16"
"00HAPY","Twerton","1.2.3"
"00HAPZ","Walcot","5.7.12"
"00HAQA","Westfield","8.15.24"
"00HAQB","Westmoreland","5.7.12"
"00HAQC","Weston","8.13.22"
"00HAQD","Widcombe","5.7.12"
"00HBNM","Ashley","5.7.12"
"00HBNN","Avonmouth","1.2.3"
"00HBNP","Bedminster","7.10.17"
"00HBNQ","Bishopston","5.7.12"
"00HBNR","Bishopsworth","1.2.3"
"00HBNS","Brislington East","7.10.17"
"00HBNT","Brislington West","7.10.17"
"00HBNU","Cabot","5.7.11"
"00HBNW","Clifton","5.7.11"
"00HBNX","Clifton East","5.7.11"
"00HBNY","Cotham","5.7.11"
"00HBNZ","Easton","2.4.5"
"00HBPA","Eastville","5.7.12"
"00HBPB","Filwood","1.2.3"
"00HBPC","Frome Vale","8.13.22"
"00HBPD","Hartcliffe","1.2.3"
"00HBPE","Henbury","1.2.3"
"00HBPF","Hengrove","7.10.17"
"00HBPG","Henleaze","7.12.19"
"00HBPH","Hillfields","1.2.3"
"00HBPJ","Horfield","5.7.12"
"00HBPK","Kingsweston","1.2.3"
"00HBPL","Knowle","7.10.17"
"00HBPM","Lawrence Hill","3.5.7"
"00HBPN","Lockleaze","1.2.3"
"00HBPP","Redland","5.7.12"
"00HBPQ","St George East","7.10.17"
"00HBPR","St George West","2.4.5"
"00HBPS","Southmead","1.2.3"
"00HBPT","Southville","5.7.12"
"00HBPU","Stockwood","7.10.17"
"00HBPW","Stoke Bishop","5.7.13"
"00HBPX","Westbury-on-Trym","7.12.19"
"00HBPY","Whitchurch Park","1.2.3"
"00HBPZ","Windmill Hill","5.7.12"
"00HCNP","Backwell","9.17.26"
"00HCNQ","Banwell and Winscombe","7.10.16"
"00HCNR","Blagdon and Churchill","9.17.26"
"00HCNS","Clevedon Central","7.10.17"
"00HCNT","Clevedon East","7.10.17"
"00HCNU","Clevedon North","3.5.8"
"00HCNW","Clevedon South","7.10.17"
"00HCNX","Clevedon Walton","9.17.26"
"00HCNY","Clevedon West","7.10.17"
"00HCNZ","Clevedon Yeo","7.10.17"
"00HCPA","Congresbury","9.17.26"
"00HCPB","Easton-in-Gordano","9.17.26"
"00HCPC","Gordano","9.17.26"
"00HCPD","Hutton and Locking","7.10.16"
"00HCPE","Kewstoke","7.11.18"
"00HCPF","Nailsea East","9.17.26"
"00HCPG","Nailsea North and West","7.10.16"
"00HCPH","Pill","7.10.17"
"00HCPJ","Portishead Central","8.13.22"
"00HCPK","Portishead Coast","9.17.26"
"00HCPL","Portishead East","7.11.18"
"00HCPM","Portishead Redcliffe Bay","9.17.26"
"00HCPN","Portishead South and North Weston","7.10.16"
"00HCPP","Portishead West","7.10.16"
"00HCPQ","Weston-super-Mare Central","3.5.8"
"00HCPR","Weston-super-Mare Clarence and Uphill","8.14.23"
"00HCPS","Weston-super-Mare East","7.10.17"
"00HCPT","Weston-super-Mare Milton and Old Worle","8.14.23"
"00HCPU","Weston-super-Mare North Worle","7.11.18"
"00HCPW","Weston-super-Mare South","1.2.3"
"00HCPX","Weston-super-Mare South Worle","7.10.17"
"00HCPY","Weston-super-Mare West","3.5.8"
"00HCPZ","Winford","9.17.26"
"00HCQA","Wraxall and Long Ashton","7.12.19"
"00HCQB","Wrington","9.17.26"
"00HCQC","Yatton","7.10.16"
"00HDNR","Almondsbury","9.17.26"
"00HDNS","Alveston","9.17.26"
"00HDNT","Bitton","7.10.16"
"00HDNU","Boyd Valley","7.10.16"
"00HDNW","Bradley Stoke Baileys Court","7.11.18"
"00HDNX","Bradley Stoke Bowsland","7.11.18"
"00HDNY","Bradley Stoke Sherbourne","7.11.18"
"00HDNZ","Charfield","7.11.18"
"00HDPA","Chipping Sodbury","7.10.16"
"00HDPB","Cotswold Edge","9.17.26"
"00HDPC","Dodington","7.10.17"
"00HDPD","Downend","7.12.19"
"00HDPE","Filton","7.10.17"
"00HDPF","Frampton Cotterell","7.10.16"
"00HDPG","Hanham","1.1.2"
"00HDPH","Kings Chase","7.10.17"
"00HDPJ","Ladden Brook","9.17.26"
"00HDPK","Longwell Green","7.10.16"
"00HDPL","Oldland Common","7.10.17"
"00HDPM","Parkwall","7.10.17"
"00HDPN","Patchway","7.10.17"
"00HDPP","Pilning and Severn Beach","7.10.16"
"00HDPQ","Rodway","7.10.17"
"00HDPR","Severn","9.17.26"
"00HDPS","Siston","7.11.18"
"00HDPT","Staple Hill","7.10.17"
"00HDPU","Stoke Gifford","7.11.18"
"00HDPW","Thornbury North","7.10.16"
"00HDPX","Thornbury South","7.10.16"
"00HDPY","Westerleigh","7.10.16"
"00HDPZ","Winterbourne","7.12.19"
"00HDQA","Woodstock","7.10.17"
"00HDQB","Yate Central","7.10.17"
"00HDQC","Yate North","7.11.18"
"00HDQD","Yate West","7.10.17"
"00HGMX","Budshead","1.2.3"
"00HGMY","Compton","5.7.12"
"00HGMZ","Devonport","2.4.5"
"00HGNA","Drake","5.7.11"
"00HGNB","Efford and Lipson","2.4.5"
"00HGNC","Eggbuckland","1.1.2"
"00HGND","Ham","1.2.3"
"00HGNE","Honicknowle","1.2.3"
"00HGNF","Moor View","1.1.1"
"00HGNG","Peverell","5.7.12"
"00HGNH","Plympton Chaddlewood","7.10.17"
"00HGNJ","Plympton Erle","1.1.2"
"00HGNK","Plympton St Mary","1.1.2"
"00HGNL","Plymstock Dunstone","7.10.16"
"00HGNM","Plymstock Radford","1.1.2"
"00HGNN","St Budeaux","1.2.3"
"00HGNP","St Peter and the Waterfront","3.5.8"
"00HGNQ","Southway","1.1.1"
"00HGNR","Stoke","2.4.5"
"00HGNS","Sutton and Mount Gould","2.4.5"
"00HHMN","Berry Head-with-Furzeham","8.13.22"
"00HHMP","Blatchcombe","1.2.3"
"00HHMQ","Churston-with-Galmpton","8.14.23"
"00HHMR","Clifton-with-Maidenway","8.13.22"
"00HHMS","Cockington-with-Chelston","8.13.22"
"00HHMT","Ellacombe","2.4.5"
"00HHMU","Goodrington-with-Roselands","8.13.22"
"00HHMW","Preston","8.14.23"
"00HHMX","Roundham-with-Hyde","3.5.8"
"00HHMY","St Marychurch","3.5.8"
"00HHMZ","St Mary's-with-Summercombe","8.13.22"
"00HHNA","Shiphay-with-the-Willows","8.13.22"
"00HHNB","Tormohun","3.5.8"
"00HHNC","Watcombe","1.2.3"
"00HHND","Wellswood","3.5.8"
"00HNMW","Boscombe East","3.5.8"
"00HNMX","Boscombe West","4.6.10"
"00HNMY","Central","4.6.10"
"00HNMZ","East Cliff and Springbourne","3.5.8"
"00HNNA","East Southbourne and Tuckton","8.14.23"
"00HNNB","Kinson North","8.13.22"
"00HNNC","Kinson South","1.2.3"
"00HNND","Littledown and Iford","7.12.19"
"00HNNE","Moordown","7.10.16"
"00HNNF","Queen's Park","5.7.12"
"00HNNG","Redhill and Northbourne","7.10.16"
"00HNNH","Strouden Park","8.13.22"
"00HNNJ","Talbot and Branksome Woods","3.5.8"
"00HNNK","Throop and Muscliff","7.10.17"
"00HNNL","Wallisdown and Winton West","8.13.22"
"00HNNM","West Southbourne","8.13.22"
"00HNNN","Westbourne and West Cliff","4.6.10"
"00HNNP","Winton East","5.7.12"
"00HPMP","Alderney","8.15.24"
"00HPMQ","Branksome East","7.12.19"
"00HPMR","Branksome West","7.10.17"
"00HPMS","Broadstone","9.17.26"
"00HPMT","Canford Cliffs","8.14.23"
"00HPMU","Canford Heath East","7.10.17"
"00HPMW","Canford Heath West","7.10.17"
"00HPMX","Creekmoor","8.15.24"
"00HPMY","Hamworthy East","8.15.24"
"00HPMZ","Hamworthy West","1.2.3"
"00HPNA","Merley and Bearwood","7.10.16"
"00HPNB","Newtown","8.13.22"
"00HPNC","Oakdale","7.10.16"
"00HPND","Parkstone","8.14.23"
"00HPNE","Penn Hill","7.12.19"
"00HPNF","Poole Town","3.5.8"
"00HXMY","Abbey Meads","7.11.18"
"00HXMZ","Blunsdon","9.17.26"
"00HXNA","Central","5.7.12"
"00HXNB","Covingham and Nythe","7.10.17"
"00HXNC","Dorcan","7.10.17"
"00HXND","Eastcott","5.7.12"
"00HXNE","Freshbrook and Grange Park","7.10.17"
"00HXNF","Gorse Hill and Pinehurst","1.2.3"
"00HXNG","Haydon Wick","7.11.18"
"00HXNH","Highworth","7.10.16"
"00HXNJ","Moredon","7.10.17"
"00HXNK","Old Town and Lawn","7.12.19"
"00HXNL","Parks","1.2.3"
"00HXNM","Penhill","2.3.4"
"00HXNN","Ridgeway","9.17.26"
"00HXNP","St Margaret","8.15.24"
"00HXNQ","St Philip","8.15.24"
"00HXNR","Shaw and Nine Elms","7.11.18"
"00HXNS","Toothill and Westlea","7.10.17"
"00HXNT","Walcot","1.2.3"
"00HXNU","Western","7.10.17"
"00HXNW","Wroughton and Chiseldon","7.10.16"
"00JANB","Barnack","9.17.26"
"00JANC","Bretton North","1.2.3"
"00JAND","Bretton South","7.10.17"
"00JANE","Central","6.8.14"
"00JANF","Dogsthorpe","1.2.3"
"00JANG","East","1.2.3"
"00JANH","Eye and Thorney","7.10.16"
"00JANJ","Fletton","2.4.5"
"00JANK","Glinton and Wittering","7.11.18"
"00JANL","Newborough","7.10.16"
"00JANM","North","1.2.3"
"00JANN","Northborough","9.17.26"
"00JANP","Orton Longueville","1.2.3"
"00JANQ","Orton Waterville","7.12.19"
"00JANR","Orton with Hampton","7.11.18"
"00JANS","Park","7.10.17"
"00JANT","Paston","1.2.3"
"00JANU","Ravensthorpe","1.2.3"
"00JANW","Stanground Central","8.15.24"
"00JANX","Stanground East","7.11.18"
"00JANY","Walton","7.10.17"
"00JANZ","Werrington North","7.10.17"
"00JAPA","Werrington South","7.10.16"
"00JAPB","West","7.12.19"
"00KAMS","Barnfield","7.11.18"
"00KAMT","Biscot","6.8.14"
"00KAMU","Bramingham","7.11.18"
"00KAMW","Challney","7.12.20"
"00KAMX","Crawley","1.2.3"
"00KAMY","Dallow","6.8.14"
"00KAMZ","Farley","1.2.3"
"00KANA","High Town","5.7.12"
"00KANB","Icknield","1.1.2"
"00KANC","Leagrave","1.2.3"
"00KAND","Lewsey","1.2.3"
"00KANE","Limbury","7.10.17"
"00KANF","Northwell","1.2.3"
"00KANG","Round Green","7.10.17"
"00KANH","Saints","6.8.14"
"00KANJ","South","5.7.12"
"00KANK","Stopsley","8.15.24"
"00KANL","Sundon Park","8.15.24"
"00KANM","Wigmore","7.10.17"
"00KFMP","Belfairs","1.1.2"
"00KFMQ","Blenheim Park","7.12.20"
"00KFMR","Chalkwell","5.7.12"
"00KFMS","Eastwood Park","1.1.2"
"00KFMT","Kursaal","3.5.7"
"00KFMU","Leigh","5.7.12"
"00KFMW","Milton","4.6.10"
"00KFMX","Prittlewell","1.1.2"
"00KFMY","St Laurence","1.1.2"
"00KFMZ","St. Luke's","1.2.3"
"00KFNA","Shoeburyness","1.2.3"
"00KFNB","Southchurch","7.12.20"
"00KFNC","Thorpe","7.12.19"
"00KFND","Victoria","3.5.8"
"00KFNE","Westborough","5.7.12"
"00KFNF","West Leigh","7.12.19"
"00KFNG","West Shoebury","7.12.20"
"00KGMX","Aveley and Uplands","1.2.3"
"00KGMY","Belhus","1.2.3"
"00KGMZ","Chadwell St Mary","1.2.3"
"00KGNA","Chafford and North Stifford","7.11.18"
"00KGNB","Corringham and Fobbing","7.10.16"
"00KGNC","East Tilbury","7.10.17"
"00KGND","Grays Riverside","5.7.12"
"00KGNE","Grays Thurrock","1.2.3"
"00KGNF","Little Thurrock Blackshots","1.1.2"
"00KGNG","Little Thurrock Rectory","7.10.17"
"00KGNH","Ockendon","1.2.3"
"00KGNJ","Orsett","7.10.16"
"00KGNK","South Chafford","7.11.18"
"00KGNL","Stanford East and Corringham Town","1.2.3"
"00KGNM","Stanford-le-Hope West","7.10.17"
"00KGNN","Stifford Clays","1.1.2"
"00KGNP","The Homesteads","7.10.17"
"00KGNQ","Tilbury Riverside and Thurrock Park","1.2.3"
"00KGNR","Tilbury St Chads","1.2.3"
"00KGNS","West Thurrock and South Stifford","1.2.3"
"00LCNN","Chatham Central","2.4.5"
"00LCNP","Cuxton and Halling","7.10.17"
"00LCNQ","Gillingham North","2.4.5"
"00LCNR","Gillingham South","2.4.5"
"00LCNS","Hempstead and Wigmore","7.10.16"
"00LCNT","Lordswood and Capstone","7.10.17"
"00LCNU","Luton and Wayfield","1.2.3"
"00LCNW","Peninsula","7.10.17"
"00LCNX","Princes Park","7.10.17"
"00LCNY","Rainham Central","7.10.16"
"00LCNZ","Rainham North","7.10.17"
"00LCPA","Rainham South","7.10.17"
"00LCPB","River","5.7.12"
"00LCPC","Rochester East","2.4.5"
"00LCPD","Rochester South and Horsted","7.10.17"
"00LCPE","Rochester West","5.7.12"
"00LCPF","Strood North","7.10.17"
"00LCPG","Strood Rural","7.10.17"
"00LCPH","Strood South","1.2.3"
"00LCPJ","Twydall","1.2.3"
"00LCPK","Walderslade","7.10.17"
"00LCPL","Watling","7.10.17"
"00MAMW","Ascot","7.12.19"
"00MAMX","Binfield with Warfield","7.11.18"
"00MAMY","Bullbrook","7.10.17"
"00MAMZ","Central Sandhurst","7.11.18"
"00MANA","College Town","7.11.18"
"00MANB","Crown Wood","7.10.17"
"00MANC","Crowthorne","7.12.19"
"00MAND","Great Hollands North","7.10.17"
"00MANE","Great Hollands South","7.10.17"
"00MANF","Hanworth","7.10.17"
"00MANG","Harmans Water","7.10.17"
"00MANH","Little Sandhurst and Wellington","7.11.18"
"00MANJ","Old Bracknell","7.10.17"
"00MANK","Owlsmoor","7.11.18"
"00MANL","Priestwood and Garth","7.10.17"
"00MANM","Warfield Harvest Ride","7.11.18"
"00MANN","Wildridings and Central","5.7.12"
"00MANP","Winkfield and Cranbourne","9.17.26"
"00MBNJ","Aldermaston","9.17.26"
"00MBNK","Basildon","9.17.26"
"00MBNL","Birch Copse","7.11.18"
"00MBNM","Bucklebury","9.17.26"
"00MBNN","Burghfield","7.11.18"
"00MBNP","Calcot","7.10.17"
"00MBNQ","Chieveley","7.11.18"
"00MBNR","Clay Hill","7.10.17"
"00MBNS","Cold Ash","9.17.26"
"00MBNT","Compton","7.11.18"
"00MBNU","Downlands","9.17.26"
"00MBNW","Falkland","7.10.16"
"00MBNX","Greenham","7.10.17"
"00MBNY","Hungerford","7.10.17"
"00MBNZ","Kintbury","9.17.26"
"00MBPA","Lambourn Valley","7.11.18"
"00MBPB","Mortimer","9.17.26"
"00MBPC","Northcroft","7.10.17"
"00MBPD","Pangbourne","7.12.19"
"00MBPE","Purley on Thames","9.17.26"
"00MBPF","St Johns","7.12.19"
"00MBPG","Speen","7.12.19"
"00MBPH","Sulhamstead","7.10.16"
"00MBPJ","Thatcham Central","7.10.17"
"00MBPK","Thatcham North","7.11.18"
"00MBPL","Thatcham South and Crookham","7.11.18"
"00MBPM","Thatcham West","7.10.17"
"00MBPN","Theale","7.10.17"
"00MBPP","Victoria","5.7.12"
"00MBPQ","Westwood","7.10.16"
"00MCMR","Abbey","4.6.10"
"00MCMS","Battle","5.7.12"
"00MCMT","Caversham","5.7.12"
"00MCMU","Church","7.12.20"
"00MCMW","Katesgrove","5.7.12"
"00MCMX","Kentwood","7.10.17"
"00MCMY","Mapledurham","9.17.26"
"00MCMZ","Minster","5.7.12"
"00MCNA","Norcot","7.12.20"
"00MCNB","Park","5.7.12"
"00MCNC","Peppard","7.12.19"
"00MCND","Redlands","5.7.11"
"00MCNE","Southcote","7.12.20"
"00MCNF","Thames","7.12.19"
"00MCNG","Tilehurst","7.10.17"
"00MCNH","Whitley","1.2.3"
"00MDMQ","Baylis and Stoke","6.8.14"
"00MDMR","Britwell","1.2.3"
"00MDMS","Central","6.8.14"
"00MDMT","Chalvey","6.8.14"
"00MDMU","Cippenham Green","7.10.17"
"00MDMW","Cippenham Meadows","5.7.12"
"00MDMX","Colnbrook with Poyle","7.10.17"
"00MDMY","Farnham","6.8.14"
"00MDMZ","Foxborough","7.12.20"
"00MDNA","Haymill","7.10.17"
"00MDNB","Kedermister","1.2.3"
"00MDNC","Langley St Mary's","7.10.17"
"00MDND","Upton","5.7.12"
"00MDNE","Wexham Lea","6.8.14"
"00MEMZ","Ascot and Cheapside","9.17.26"
"00MENA","Belmont","5.7.12"
"00MENB","Bisham and Cookham","7.12.19"
"00MENC","Boyn Hill","7.12.19"
"00MEND","Bray","9.17.26"
"00MENE","Castle Without","5.7.12"
"00MENF","Clewer East","5.7.12"
"00MENG","Clewer North","7.10.17"
"00MENH","Clewer South","7.10.17"
"00MENJ","Cox Green","7.10.16"
"00MENK","Datchet","7.12.19"
"00MENL","Eton and Castle","5.7.11"
"00MENM","Eton Wick","7.10.17"
"00MENN","Furze Platt","7.10.17"
"00MENP","Horton and Wraysbury","9.17.26"
"00MENQ","Hurley and Walthams","7.12.19"
"00MENR","Maidenhead Riverside","7.12.19"
"00MENS","Old Windsor","7.12.19"
"00MENT","Oldfield","7.10.17"
"00MENU","Park","7.12.19"
"00MENW","Pinkneys Green","7.12.19"
"00MENX","Sunningdale","7.12.19"
"00MENY","Sunninghill and South Ascot","7.12.19"
"00MFNB","Arborfield","7.11.18"
"00MFNC","Barkham","7.11.18"
"00MFND","Bulmershe and Whitegates","7.12.19"
"00MFNE","Charvil","7.11.18"
"00MFNF","Coronation","7.10.16"
"00MFNG","Emmbrook","7.12.19"
"00MFNH","Evendons","7.11.18"
"00MFNJ","Finchampstead North","7.11.18"
"00MFNK","Finchampstead South","9.17.26"
"00MFNL","Hawkedon","7.11.18"
"00MFNM","Hillside","7.11.18"
"00MFNN","Hurst","9.17.26"
"00MFNP","Loddon","7.11.18"
"00MFNQ","Maiden Erlegh","7.12.19"
"00MFNR","Norreys","7.12.19"
"00MFNS","Remenham","9.17.26"
"00MFNT","Shinfield North","7.10.17"
"00MFNU","Shinfield South","7.11.18"
"00MFNW","Sonning","9.17.26"
"00MFNX","South Lake","7.10.17"
"00MFNY","Swallowfield","9.17.26"
"00MFNZ","Twyford","7.12.19"
"00MFPA","Wescott","7.12.19"
"00MFPB","Winnersh","7.11.18"
"00MFPC","Wokingham Without","9.17.26"
"00MGNB","Bletchley and Fenny Stratford","7.10.17"
"00MGNC","Bradwell","7.10.17"
"00MGND","Campbell Park","1.2.3"
"00MGNE","Danesborough","7.12.19"
"00MGNF","Denbigh","7.10.17"
"00MGNG","Eaton Manor","1.2.3"
"00MGNH","Emerson Valley","7.11.18"
"00MGNJ","Furzton","7.10.17"
"00MGNK","Hanslope Park","7.10.16"
"00MGNL","Linford North","7.10.17"
"00MGNM","Linford South","7.10.17"
"00MGNN","Loughton Park","7.11.18"
"00MGNP","Middleton","7.11.18"
"00MGNQ","Newport Pagnell North","7.10.17"
"00MGNR","Newport Pagnell South","7.10.17"
"00MGNS","Olney","7.11.18"
"00MGNT","Sherington","9.17.26"
"00MGNU","Stantonbury","7.10.17"
"00MGNW","Stony Stratford","7.10.17"
"00MGNX","Walton Park","7.11.18"
"00MGNY","Whaddon","7.10.17"
"00MGNZ","Wolverton","1.2.3"
"00MGPA","Woughton","2.3.4"
"00MLND","Brunswick and Adelaide","4.6.10"
"00MLNE","Central Hove","4.6.10"
"00MLNF","East Brighton","3.5.7"
"00MLNG","Goldsmid","4.6.10"
"00MLNH","Hangleton and Knoll","7.12.20"
"00MLNJ","Hanover and Elm Grove","5.7.12"
"00MLNK","Hollingbury and Stanmer","7.12.20"
"00MLNL","Moulsecoomb and Bevendean","1.2.3"
"00MLNM","North Portslade","7.10.17"
"00MLNN","Patcham","1.1.2"
"00MLNP","Preston Park","5.7.12"
"00MLNQ","Queen's Park","4.6.10"
"00MLNR","Regency","4.6.10"
"00MLNS","Rottingdean Coastal","8.14.23"
"00MLNT","St. Peter's and North Laine","4.6.10"
"00MLNU","South Portslade","7.12.20"
"00MLNW","Stanford","7.12.19"
"00MLNX","Westbourne","5.7.12"
"00MLNY","Wish","5.7.12"
"00MLNZ","Withdean","7.12.19"
"00MLPA","Woodingdean","1.1.2"
"00MRMP","Baffins","7.10.17"
"00MRMQ","Central Southsea","5.7.12"
"00MRMR","Charles Dickens","3.5.7"
"00MRMS","Copnor","7.10.17"
"00MRMT","Cosham","1.2.3"
"00MRMU","Drayton and Farlington","1.1.2"
"00MRMW","Eastney and Craneswater","5.7.12"
"00MRMX","Fratton","2.4.5"
"00MRMY","Hilsea","7.10.17"
"00MRMZ","Milton","2.4.5"
"00MRNA","Nelson","2.4.5"
"00MRNB","Paulsgrove","1.2.3"
"00MRNC","St Jude","4.6.10"
"00MRND","St Thomas","3.5.8"
"00MSMR","Bargate","5.7.11"
"00MSMS","Bassett","5.7.13"
"00MSMT","Bevois","5.7.11"
"00MSMU","Bitterne","1.2.3"
"00MSMW","Bitterne Park","7.10.17"
"00MSMX","Coxford","1.2.3"
"00MSMY","Freemantle","5.7.12"
"00MSMZ","Harefield","1.2.3"
"00MSNA","Millbrook","1.2.3"
"00MSNB","Peartree","7.10.17"
"00MSNC","Portswood","5.7.11"
"00MSND","Redbridge","1.2.3"
"00MSNE","Shirley","5.7.12"
"00MSNF","Sholing","7.10.17"
"00MSNG","Swaythling","5.7.13"
"00MSNH","Woolston","1.2.3"
"00MWPC","Ashey","8.13.22"
"00MWPD","Bembridge North","8.14.23"
"00MWPE","Bembridge South","8.14.23"
"00MWPF","Binstead","8.14.23"
"00MWPG","Brading and St Helens","8.14.23"
"00MWPH","Brighstone and Calbourne","8.14.23"
"00MWPJ","Carisbrooke East","1.1.2"
"00MWPK","Carisbrooke West","8.13.22"
"00MWPL","Central Rural","8.13.21"
"00MWPM","Chale","8.14.23"
"00MWPN","Cowes Castle East","3.5.8"
"00MWPP","Cowes Castle West","8.14.23"
"00MWPQ","Cowes Central","8.13.22"
"00MWPR","Cowes Medina","2.4.5"
"00MWPS","East Cowes North","8.14.23"
"00MWPT","East Cowes South","2.4.5"
"00MWPU","Fairlee","8.13.22"
"00MWPW","Freshwater Afton","8.14.23"
"00MWPX","Freshwater Norton","8.14.23"
"00MWPY","Gurnard","8.14.23"
"00MWPZ","Lake North","8.13.22"
"00MWQA","Lake South","8.14.23"
"00MWQB","Mount Joy","8.13.22"
"00MWQC","Newchurch","7.10.16"
"00MWQD","Newport North","2.4.5"
"00MWQE","Newport South","2.4.5"
"00MWQF","Northwood","7.10.16"
"00MWQG","Osborne","8.13.22"
"00MWQH","Pan","1.2.3"
"00MWQJ","Parkhurst","7.10.17"
"00MWQK","Ryde North East","3.5.8"
"00MWQL","Ryde North West","3.5.8"
"00MWQM","Ryde South East","2.4.5"
"00MWQN","Ryde South West","8.13.22"
"00MWQP","St Johns East","8.13.22"
"00MWQQ","St Johns West","3.5.8"
"00MWQR","Sandown North","8.13.22"
"00MWQS","Sandown South","8.13.22"
"00MWQT","Seaview and Nettlestone","8.14.23"
